galaxy,Mvir,Mgas,Mbar,Mstar
431,6.72e+10,6.39e+09,7.18e+09,7.95e+08
468,6.32e+10,7.06e+09,7.46e+09,4.05e+08
492,5.71e+10,4.67e+09,5.55e+09,8.80e+08
502,6.01e+10,6.41e+09,6.55e+09,1.44e+08
523,5.14e+10,3.73e+09,4.57e+09,8.37e+08
569,4.71e+10,4.08e+09,4.48e+09,4.01e+08
597,4.14e+10,3.91e+09,4.62e+09,7.05e+08
615,4.27e+10,4.79e+09,5.05e+09,2.59e+08
618,4.20e+10,2.73e+09,3.16e+09,4.33e+08
