galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars,sigma_allstars_wtd,sigma_youngstar,sigma_youngstar_wtd,sigma_allgas,sigma_allgas_wtd,sigma_coldgas,sigma_coldgas_wtd,log_sigma_pred_10,log_sigma_pred_100,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
515,004096,13.800820457194083,2.6238778642309436e-11,1101489974.2110803,4.490791878660232,2.463785011163803,4.425048828125,26.393619710483488,26.27963605047557,18.886378830905386,18.887027306870646,nan,26.27963605047557,nan,nan,1.4814362992556729,1.4477323353680382,1.0,3495296.6055085175,24343174.146790862,-9.49849651333666,-9.655603342582673
515,004032,13.585453191611203,0.015091542087637869,1071373235.3497158,6.244459411946296,3.7968516134464254,5.035400390625,25.93660197166325,25.84318279624023,17.759649657051924,17.75803488433426,nan,25.84318279624023,nan,nan,1.4245300046022427,1.4539493243952806,1.0,1910431.9157148658,26203729.077940993,-9.74880922794566,-9.611577692203861
515,003936,13.262402293228055,0.03836862118687549,986380824.4017428,6.495532888610773,3.0968407080160913,4.730224609375,25.726526591194393,25.646858524228204,14.119882794996133,14.1195284676335,nan,25.646858524228204,nan,nan,1.400825269654316,1.4050942049267527,1.0,1510505.2981486935,15815304.054207113,-9.814922367914063,-9.794967075048342
515,003840,12.93935139489506,0.0624555819313841,431586446.2939234,5.5030873472819115,3.035675904891021,3.8909912109375,25.33746742664183,25.266989802817758,15.487749100362127,15.474239922324823,nan,25.266989802817758,nan,nan,1.4101048509520184,1.3673180819920834,1.0,2087664.0903140807,13041637.080410836,-9.315407176448604,-9.519735686879196
515,003744,12.61630049653564,0.08740401178893478,31350.015438250488,36.86654080258272,17.545110495868474,19.53125,15.492862040736771,15.495759559350082,nan,nan,nan,15.495759559350082,nan,nan,-inf,-inf,1.0,0,0,-inf,-inf
515,003648,12.293249598190343,0.11327055514021908,882796261.3902687,5.908810936963498,3.0229252920298944,3.96728515625,26.64792825376589,26.60741451313365,15.084008562568664,15.09040061518949,nan,26.60741451313365,nan,nan,1.387016522062124,1.3852522581874454,1.0,1337159.311288291,13119357.46164664,-9.819677332392057,-9.827947919874054
515,003552,11.97019869982574,0.14011755623682745,283592.40587584616,22.691832246393208,10.015018848020896,9.46044921875,18.556514171163098,18.512277527950133,nan,nan,nan,18.512277527950133,nan,nan,-inf,-inf,1.0,0,0,-inf,-inf
515,003456,11.647147801490403,0.16801380289064402,810653514.6861452,5.369646177498148,3.202551423383093,3.662109375,27.389130778405185,27.482562195257387,17.01976517029289,17.02290377217046,nan,27.482562195257387,nan,nan,1.4289711523843527,1.4007538551783452,1.0,2150028.1270660213,15844408.62260922,-9.576391128504198,-9.708959235774943
515,003360,11.32409690312776,0.19703539002037343,164994.3320520979,29.102091194746265,8.613675734226483,7.9345703125,15.844522565841823,15.776609699624741,nan,nan,nan,15.776609699624741,nan,nan,-inf,-inf,1.0,0,0,-inf,-inf
515,003264,11.001046004785696,0.22726672633266795,744952342.0260346,4.674221545895516,2.270517785156925,3.35693359375,25.88007526705663,25.920516144620514,16.466181587055043,16.43974035040998,nan,25.920516144620514,nan,nan,1.3813713793661753,1.343179970498745,1.0,1312296.6564175212,8673885.070818475,-9.7540964675557,-9.93391482641403
515,003168,10.677995106420111,0.2588017129376705,30117.02479529111,45.22508966369827,8.827173549075017,-1,15.052672703711224,15.054111523289132,nan,nan,nan,15.054111523289132,nan,nan,-inf,-inf,1.0,0,0,-inf,-inf
