galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars,sigma_allstars_wtd,sigma_youngstar,sigma_youngstar_wtd,sigma_allgas,sigma_allgas_wtd,sigma_coldgas,sigma_coldgas_wtd,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
571,004096,13.80082045779957,-1.572577200861206e-11,440354287.9829715,3315.8618734573415,2896.7630489229077,2.74658203125,25.00776213958108,24.99176105758602,16.097816604689854,16.090894589185837,24.023046355523448,24.99176105758602,20.403280749880658,20.35032205637453,1.0,467011.48569111346,4096518.2920156782,-9.974474667929144,-10.031387331237838
571,004032,13.585453192038734,0.01509154205734746,433768436.7384712,3239.791782240813,2827.975386077851,2.74658203125,25.18089680408633,25.17126560881582,15.026031758716787,15.023591873827982,23.891377612745355,25.17126560881582,20.593593593808453,20.564173895488565,1.0,436798.411519965,3671106.0283207837,-9.99697689696312,-10.072461019376851
571,003936,13.262402293370263,0.03836862117645429,424896661.9106453,3126.8497911764593,2726.0351058420965,2.74658203125,25.028624525851455,25.04373344703197,15.696984772132959,15.697252552025782,24.027209300063685,25.04373344703197,20.577432281972257,20.537125460356364,1.0,405169.1280465774,3593190.00381938,-10.020646972399529,-10.07280313636968
571,003840,12.939351394680115,0.06245558194769083,416756131.04413074,3015.944704537564,2626.106880361255,2.74658203125,25.280818319489054,25.311294171874597,17.151395226350704,17.150867200467168,24.215480535102916,25.311294171874597,20.582465407261186,20.564593150190944,1.0,339013.33883061307,3537139.607983133,-10.089665211298898,-10.071229796205879
571,003744,12.616300496016041,0.08740401182978395,408809317.6560244,2906.1445172775757,2527.582907665802,2.593994140625,24.99635245325732,25.023144727155913,17.176718533386023,17.160859677190945,24.156358765652964,25.023144727155913,21.551879599689894,21.44869404709736,1.0,363550.12910264655,3639609.875426798,-10.050956482552923,-10.050465951018113
571,003648,12.293249597330092,0.11327055521037552,401237732.27048904,2798.1377957267923,2430.6735556126587,2.6702880859375,25.04618948882756,25.0608187777358,16.699495014178797,16.718916646007308,24.828142184288545,25.0608187777358,21.225307170141367,21.166388746509195,1.0,382216.0417967882,3537989.342555685,-10.021092856529433,-10.054645246830253
571,003552,11.9701986986139,0.14011755633945974,393718629.92089117,2691.7533855179167,2335.2953719880365,2.593994140625,25.200329963375655,25.24956857375716,14.423680361086019,14.42636376812948,24.327317277769104,25.24956857375716,21.507123355748615,21.448352175800103,1.0,367436.48943391873,3331108.0059649544,-10.03000368207141,-10.072597250921085
571,003456,11.647147799961635,0.1680138030252565,386057651.1073306,2587.083270698271,2241.6473260092916,2.593994140625,25.027881045497068,25.051838336718497,18.515733928932463,18.52282512302478,24.285152883285583,25.051838336718497,22.35189971332803,22.312094621755552,1.0,334673.40077070874,3519195.5506154494,-10.062030967168782,-10.040208764085147
571,003360,11.324096901299068,0.1970353901879955,377683568.2748179,2483.64378256052,2149.1163210113227,2.593994140625,24.545057914658106,24.566116755302986,16.461601596349187,16.455866265952576,24.02167011293672,24.566116755302986,20.967333333197203,20.91088240578053,1.0,413577.153019583,2660028.1157463635,-9.960571551271535,-10.152241863539974
571,003264,11.001046002625682,0.22726672653905128,370265958.7547837,2381.5621269271915,2058.0243102183135,2.593994140625,24.63275128457085,24.664057353111172,17.269650126005235,17.263361541324503,24.580445906562993,24.664057353111172,22.67971541668909,22.611584841639,1.0,359846.2279266947,3009667.1855058256,-10.012396831457965,-10.089995312859266
