galaxyID,timestep,t,z,M_star,R_halflight,R_halfmass,sigma_gas,sigma_star,SFR_10,SFR_100,sSFR_10,sSFR_100
492,004096,13.80082045735428,1.513554349738855e-11,1187082552.6619174,3.8705784221789887,3.4499999999999966,6.740980081836868,48.36878388254736,3659308.7706579445,29255243.69644113,0.0030826068182472225,0.024644658141794
492,004032,13.585453191591753,0.015091542089015801,1151059696.4127598,4.160023904005368,3.399999999999997,6.2464438312254815,48.14290025247474,1871653.37900427,25564313.926695164,0.0016260263345482576,0.022209372812170836
492,003936,13.262402292949817,0.03836862120726507,1084880016.0908716,4.266477992221001,3.599999999999996,5.895392800037243,46.449487067919065,1530913.0538649638,17988846.55891864,0.0014111358225412567,0.016581415725342167
492,003840,12.93935139430683,0.062455581976010636,1026213047.9854046,4.306260361079458,3.349999999999997,5.639516471911165,48.54895986075091,1815314.5206717562,16316279.248782024,0.0017689450784468827,0.015899504767370766
492,003744,12.616300495667957,0.08740401185715023,977505832.8707539,4.301839949263433,3.399999999999997,5.865240324362235,46.99061749187421,1233679.3443972492,9160311.232979244,0.0012620685247208818,0.009371106468057692
492,003648,12.293249597023555,0.11327055523537416,926824019.2690525,4.652597225246314,3.299999999999997,5.521183901977132,47.16483333303573,2303455.571747953,12063787.066554064,0.002485321402831783,0.013016265025229137
492,003606,12.151914828870547,0.1248915777123795,915875461.1047416,4.471686824911908,3.1499999999999977,5.29154003842012,48.48855550833317,1340076.8075045538,17729865.242748775,0.0014631648782118638,0.01935838003713165
492,003552,11.970198698381537,0.14011755635913872,885907027.4900596,4.516749509329054,3.1999999999999975,5.056130365678311,47.69601003765425,2161508.373993758,12280859.165568216,0.0024398817335468215,0.0138624695193605
492,003456,11.647147799742081,0.16801380304458888,854064935.8748301,4.132090343815291,2.8999999999999986,5.109528287939048,50.28699113365769,2873250.8313649804,19364661.00293136,0.0033642065265469204,0.02267352304201071
492,003360,11.324096901091844,0.19703539020698996,821759398.1816747,3.8100249635042838,2.799999999999999,4.729750077757607,50.29896538010544,1776592.0323634476,17189860.64271383,0.002161936980939375,0.02091836209083853
492,003264,11.001046002446282,0.22726672655619293,781986851.315351,3.8900108301271232,2.799999999999999,4.612568057984267,48.90862806955376,1327441.259260804,11062726.10791821,0.0016975237589071533,0.014146946447130167
492,003195,10.76885316904181,0.24979488251810375,760214127.0422142,4.048147600908255,2.749999999999999,4.592433989318216,49.550338061079955,1819992.279001002,15838309.855363809,0.0023940521680149455,0.02083401148698243
492,003168,10.67799510379844,0.2588017131991528,748938449.391646,3.751022307207002,2.5999999999999996,4.592775468380303,49.867310087635545,1685966.8112107604,14370064.598224325,0.0022511420165171807,0.019187243771363268
492,003072,10.354944205155268,0.2917451297031834,719434797.0176593,3.930182625337954,2.5999999999999996,4.564420446988171,48.36340350887122,1826979.4409357936,12065260.405686732,0.0025394649362379235,0.016770471008216437
492,002976,10.03189330652217,0.32621427193912644,686733539.2409848,3.650270870732808,2.4999999999999982,4.453626745658669,47.78901542399022,2036958.0517244802,11791975.49690806,0.0029661548989959583,0.0171711076030176
492,002880,9.708842407884337,0.3623408972557429,658410101.4874163,3.7595040006871168,2.3999999999999986,4.417344649852855,47.71198771458279,2598386.372278347,14684177.695616335,0.003946455812886717,0.02230247935510598
492,002784,9.385791509250868,0.4002735471141707,628328918.6761951,3.5795828129178533,2.299999999999999,4.441122769010847,49.237546566056324,1497703.2275421347,15897113.781235266,0.0023836293110582824,0.02530062409785046
492,002688,9.062740610617896,0.4401803364010117,598363023.8380878,3.34226775410254,2.249999999999999,4.361503226060955,48.17550892886586,1428872.2930068742,11961211.008784374,0.002387968901957945,0.019989889970241512
492,002592,8.73968971198472,0.4822523237422828,569582603.2622787,3.0577959714089262,2.0999999999999996,4.339094392737496,49.72162523184724,1516901.5956864632,9687888.775920697,0.0026631810504717393,0.017008751181011167
492,002554,8.611815397942493,0.4995510834126124,561071026.0386239,2.8903244251962588,2.0,4.376652564597693,50.5902978109699,1285355.2824407269,10681454.474457206,0.002290895845247663,0.019037615522356163
492,002496,8.416638813351698,0.5267076106203545,545107147.3935025,2.916812076467129,2.0999999999999996,4.402158087445438,49.95979276721974,1173994.8006970629,12338569.788108269,0.0021536954822747507,0.022635127510447575
492,002400,8.093587914715718,0.5737963620303684,519871894.6620615,2.682335522783079,1.9500000000000002,4.462172436546911,49.88861753099532,1066518.51766937,10449111.580798388,0.002051502550186237,0.02009939696315137
492,002304,7.77053701607377,0.6238070024655125,494933731.3958255,2.400131710675348,1.9500000000000002,4.553111903397066,49.058216834472084,1093686.5533598135,8037627.603990745,0.002209763618808864,0.01623980564291468
492,002208,7.447486117440127,0.6770739248604541,475003688.6020507,2.255558226684725,1.85,4.6085268194323445,50.11775952938045,751095.5335421809,9249771.170894736,0.0015812414757297492,0.019473051247490464
492,002112,7.1244352188052895,0.7339871667057826,452265904.48116416,2.1490293687953037,1.85,4.598701853416857,48.45648417703882,582355.156668322,7356101.822619471,0.0012876388666450442,0.016264993115185925
492,002087,7.040307380619232,0.7494616046410307,449484283.97950554,2.1566770168329716,1.8,4.752268628044059,50.652421824107684,1331605.2340748936,14323506.954120558,0.002962517893363339,0.031866535637925984
492,002016,6.801384320168933,0.7950046717097137,424430124.514287,1.870951040849655,1.7,4.823853580325023,50.893051979085335,698965.5909842099,7534732.955910128,0.0016468331313289747,0.017752587577361034
492,001920,6.4783334215357256,0.8606679900599732,404660173.929257,1.8447619618395397,1.75,4.868909398531694,48.1015290548121,650422.3422691121,7661108.809438638,0.0016073297650062777,0.01893220361927181
