galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_star,sigma_youngstar,log_sigma_pred_10,log_sigma_pred_100,SFR_10,SFR_100,sSFR_10,sSFR_100
502,004096,13.800820457575835,-2.20108096062205e-13,1425837056.0339317,146.91545332511333,1.531643401245447,1.2977121398651785,1.6000000000000012,60.071373332645976,53.97901034907147,1.4993648442181398,1.4979872066316517,3969158.0719751674,39112782.14100201,-9.555371502331914,-9.561751188429806
502,004032,13.585453191781413,0.015091542075578581,1369680572.4949496,978.5786699642057,13567.938126254674,10157.679232933508,13567.899999970385,59.39783857235469,58.82163177603269,1.4845603830414384,1.4475635443878883,3422666.9640261913,23060131.42578265,-9.602254652774675,-9.77375751766095
502,003936,13.262402293083795,0.03836862119744719,1310087766.7755468,952.968217221166,13276.96394248787,9934.374895563971,13276.999999971018,59.36728403223498,60.40095025472109,1.4930640107838837,1.4773988542995706,3789278.7190507962,32052136.420405835,-9.538743840516114,-9.611443408823916
502,003840,12.939351394386447,0.06245558196997027,1229834704.057359,927.0549319232684,12988.759227349747,9715.945719350852,12988.749999951235,58.71941639397042,55.406250400952345,1.473463084417712,1.4657989567045446,3121196.9651775546,28753846.766097307,-9.595525568040964,-9.631150790025302
502,003744,12.616300495752995,0.08740401185046516,1142327070.5696318,899.470548856712,12703.39353148094,9500.624714622834,12703.449999955386,57.16766543623498,55.50280454199287,1.487102784338164,1.4881643206580306,3679925.540266182,37220539.17877892,-9.491951437480479,-9.487007808660056
502,003648,12.293249597119848,0.11327055522752139,1048035184.8295379,873.7748413148091,12415.405250344797,9276.54455496116,-1,55.99450139846433,54.42421234720294,1.442720022389499,1.4408883493483355,2335371.803566889,22898501.824012462,-9.652019830716934,-9.660568794340794
502,003606,12.151914828967048,0.12489157770437972,1019353866.8404179,863.3912519190949,12287.746318733476,9177.959306859435,12287.79999997318,59.11097083635721,58.82385563330055,1.5127065733212548,1.4824028314502846,4991670.007136726,36033709.4650966,-9.310079107745084,-9.451616002154026
502,003552,11.970198698484243,0.14011755635043954,973242559.2722883,849.8533547508932,12120.064615843261,9046.313362111243,-1,55.210273806192944,49.39390836626427,1.4635720985703056,1.4661284317839043,2978122.546921853,30612326.529670183,-9.514278527502501,-9.50232475496203
502,003456,11.647147799851233,0.16801380303497765,900464787.3956608,825.6365808208707,11826.373865550646,8813.109434481186,11826.249999968151,55.026473895854124,50.80165994320888,1.4910501812912134,1.4534405452248975,4088178.489635614,27246546.08191805,-9.342936885623747,-9.51915527782851
502,003360,11.324096901217432,0.19703539019547892,830446598.5010316,802.4329407635871,11542.12780337843,8591.755072347078,-1,55.9213099277697,51.475953538323324,1.4537627907390576,1.4305889942328438,2793272.2530003064,21742405.137952276,-9.47319844325136,-9.582004126646575
502,003264,11.001046002581404,0.227266726543282,782253083.1571448,779.5583441654726,11254.655960458073,8371.287104117742,11254.64999997647,51.63367377664923,46.04312732894294,1.405520580345006,1.4191705938171264,1683602.0705666554,19517654.861683283,-9.667107832351007,-9.602919649607069
502,003195,10.768853169188851,0.249794882503617,744443517.9123111,760.622815183821,11058.338778535042,8226.663167068486,11058.299999979326,52.06444054695223,49.95423457523,1.4103586605588263,1.4212823449428764,1797181.3119544599,20231369.530750208,-9.617239858820405,-9.565806470092241
502,003168,10.677995103948325,0.2588017131842041,731344664.9964397,751.5430295505603,10983.180161045959,8171.678817663942,10983.199999976023,52.48552212806933,41.499386447323786,1.4671228111888022,1.420517427645124,3342014.0381091204,20159034.692835778,-9.34011382784143,-9.55965236539687
502,003072,10.354944205302191,0.291745129687863,683869630.8874015,721.7458650750548,10717.877832234715,7976.427319681481,10717.899999976606,51.781369923342595,46.57364873857428,1.3901631672642452,1.4235104962748348,1475883.4597368983,21203603.520139612,-9.6659212524969,-9.50856364323255
502,002976,10.031893306646644,0.3262142719255346,639904706.2704668,665.0189431802976,14698.559038020163,9874.971950922805,14698.499999926355,50.44497119758125,43.13729944848048,1.4320887952768675,1.3702695718730662,2370539.609939574,12095854.91210435,-9.431268087810787,-9.723478735367864
502,002880,9.70884240799618,0.36234089724293195,601185609.2717016,641.7837490252007,14294.30517613886,9636.022117275821,14294.299999932236,49.426413915492915,42.45734671255625,1.3781464652375344,1.3934158397226608,1339825.9928310423,15824910.599687558,-9.651960177308313,-9.579667311006292
502,002784,9.385791509342171,0.4002735471031798,566465108.4975548,617.3152353604755,13894.583184651823,9393.547502414858,13894.549999938054,49.551814078080575,44.98049520398656,1.4137964353882997,1.4130140302081375,2009274.6079478457,19921832.30514618,-9.450133868674966,-9.453843884547746
502,002688,9.062740610687339,0.44018033639220855,526791668.37083906,658.4824762360353,9679.084656729083,7198.783057490482,9678.899999978874,50.13620128543481,39.35553424707213,1.422211420751356,1.3793036448952072,2248800.8193492256,14063922.29929647,-9.369687906797116,-9.573532439295965
502,002592,8.739689712037265,0.482252323735252,495052860.5468225,639.7922644299197,9431.675225087974,7008.63474269512,-1,47.48579319772092,41.86866480722251,1.3922029230055097,1.3675752189635668,1648121.6474965585,12583447.62560809,-9.477662310599273,-9.59485192847319
502,002554,8.611815397988757,0.49955108340628446,482991959.7047761,631.9026426977207,9332.73322874268,6928.946027225891,9332.799999984341,48.65987304649285,42.866684763381464,1.3896168431975857,1.340836142024398,1613332.2190557227,9450488.706452388,-9.476216094204753,-9.708485633722134
502,002496,8.416638813388035,0.526707610615211,463352921.8804975,621.1624431243927,9178.785411069843,6805.300576485853,-1,49.15181852345346,41.70405983767533,1.458700811913681,1.4101610672647835,3484820.454440012,20455397.9749312,-9.123731498794875,-9.355103972567509
502,002400,8.093587914737524,0.573796362027096,425135357.1382755,604.516066445212,8913.7110551564,6594.688668284911,8913.750000010534,49.499316383045354,42.489912241501116,1.3820732300839738,1.372997085074726,1540621.1179809414,13942337.417301765,-9.440831378708143,-9.484191636491474
502,002304,7.770537016087204,0.6238070024633674,394812478.03222156,584.4884072489074,8665.263343742381,6411.261378666435,-1,44.75703544303817,43.90839180453743,1.2786369607701091,1.3644404263513439,503520.60125840903,12963674.283514807,-9.894373625909504,-9.483662759365112
502,002208,7.447486117452992,0.6770739248582628,367389756.5109532,466.2959205969422,11507.815641959602,7901.5105746928,-1,47.515016274450126,38.75630931081105,1.348025859297197,1.3639244969350544,1104542.8031577154,13165200.440318838,-9.521944492945234,-9.445699567594536
502,002112,7.124435218819749,0.733987166703147,333219662.1296,514.789516566766,8049.746038844075,5968.110411531212,8049.800000004392,45.04385493842245,38.918258221948776,1.3560611072404922,1.3066323554473176,1242506.8275452151,7188611.64063996,-9.428431835843195,-9.666085597881725
