galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_hotgas_global,sigma_hotgas_lossigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
568,004096,13.800820457430683,9.840336780509803e-12,1931099458.6653714,6628.291610926033,5693.464813175729,2.593994140625,27.5644938649341,16.48661608358345,21.37493427493341,17.583988878188407,25.95423359161183,16.48661608358345,25.33639268474093,19.275302463212828,18.650305257958113,19.441899527282263,16.851454347404875,-0.26699271505190375,4431425.108758512,35261941.407240406,-9.63926122799502,-9.738498422648997
568,004032,13.585453191853114,0.015091542070498455,1866663654.916426,6479.720087939312,5570.652363662492,2.593994140625,27.426998107310283,19.878116259236208,23.880655443062093,18.527064686283346,26.57198737503502,19.878116259236208,26.344701950122204,20.1820867728811,19.385326420503006,19.68427401976986,17.82112818198926,-0.2768757872601275,5324648.751922195,39798813.689352654,-9.544775107380493,-9.671195944626996
568,003936,13.262402293483465,0.0383686211681584,1761908680.6405983,6261.291228518812,5389.090043148395,2.44140625,27.28115857875628,15.888206778825468,20.08239152037644,16.150103056274194,24.515709528608845,15.888206778825468,22.79659902744329,17.892366464465823,17.783469330867625,18.13220011513523,15.173299615809091,-0.2808843623128053,4273587.872268643,31056040.469212886,-9.615190757043367,-9.753837311291925
568,003840,12.939351395107774,0.06245558191524595,1681146056.6305242,6045.078896214601,5209.586004920309,2.6702880859375,26.998452192839736,16.026312037046583,21.886389103148435,16.86494008536905,26.208946721415426,16.026312037046583,27.631278460812243,19.756562129965943,19.12421105375197,19.875602331524586,16.75657773023515,-0.2551714653866617,2721714.326166305,35309253.15129073,-9.790762906957221,-9.677716914618799
568,003744,12.6163004967492,0.08740401177214493,1608720978.713698,5832.190941488795,5032.595882964929,2.593994140625,27.485426845443193,18.919167401366643,27.148323603381225,18.700142939420054,30.096540065118614,18.919167401366643,33.42864598957257,23.29150565851397,22.86458057964328,22.897774455240118,18.287420405120045,-0.2232877790663501,5250191.410009732,48817551.876746,-9.486305588240178,-9.517904728877747
568,003648,12.293249598378663,0.11327055512486077,1507362413.191774,5622.915579153076,4858.013987132561,2.44140625,26.056816139666736,16.83363109094503,20.16071366058381,17.489270432240417,24.53489305610428,16.83363109094503,24.79212700633825,18.306683945933834,17.495251521446292,18.89175874998096,15.500293744604573,-0.2738655610534858,4461169.3009236995,29405921.39198493,-9.528768976742562,-9.709782889788327
568,003552,11.970198700013217,0.14011755622094982,1424143147.898521,5416.110334566556,4685.312768676602,2.44140625,27.498683695401226,14.482544160248693,18.724052190751813,15.08531802102806,25.149265075178235,14.482544160248693,27.181563733351517,19.65082221951696,19.997294512421437,19.067262134355897,16.170676035746567,-0.2395692313187345,2766550.69381409,41129160.68630418,-9.711615012087652,-9.539403797602425
568,003456,11.647147801608716,0.16801380288022663,1335775530.6932616,5211.863278703005,4514.795728724572,2.288818359375,27.036723640118165,18.435790611436254,20.807866903010467,18.369255062351108,26.923677931231744,18.435790611436254,27.72057941298109,20.858611053321283,18.05771332250079,20.44370406603199,17.0092244860497,-0.2574061448991179,5003434.807217414,36311444.52911149,-9.426465238137908,-9.565689957402913
568,003360,11.324096903239797,0.1970353900101034,1255323420.2746065,5010.805285879662,4346.577384059625,2.288818359375,26.525035042968813,16.09827964707859,20.50041170598711,16.744418892643687,24.80926250355517,16.09827964707859,26.01211382432833,19.406366931518868,17.841477387099925,19.63075645958736,17.409863820836193,-0.23286957224512297,3744254.719978783,26719513.04896891,-9.525390245499686,-9.67192709237541
568,003264,11.001046004880793,0.22726672632358227,1184424923.146312,4813.292227673353,4180.737476780363,2.44140625,26.06726191729292,15.602479024823701,18.388155586109455,14.30223252861863,23.81803686226932,15.602479024823701,25.28141534636407,18.892098185592666,17.932890659880798,19.256749050466738,16.77994875671436,-0.2263879740976184,2198252.0718005616,22829988.008096676,-9.73143004627023,-9.715001854044313
568,003168,10.67799510651141,0.25880171292856397,1121102796.5917032,4618.676452396028,4017.287638553018,2.288818359375,26.308882178215004,17.6872929527211,21.329550039672213,17.78186904850604,27.307506876678875,17.6872929527211,30.42630990069498,21.137667064555846,20.54829905661125,21.71612847536953,17.98059774890137,-0.24920218569259847,2109943.2907151734,30387078.336162392,-9.725374653066552,-9.566956490477626
568,003072,10.35494420814975,0.29174512939093833,1047929964.5380391,4426.627581979306,3855.7092175846064,2.13623046875,26.241183611513893,19.636508917364043,23.46189871599194,19.603570181650856,25.7528975731272,19.636508917364043,26.309303345752472,19.343098489851396,17.406008130283258,19.80600580068581,17.231386602802893,-0.24519312469280427,3244101.669577192,22947383.08674481,-9.509237802297864,-9.659599092889318
568,002976,10.031893309782276,0.32621427158314786,987341681.5546257,4237.5727918659395,3696.4079039784565,2.0599365234375,25.282471508766932,14.330963663986042,14.955875817450838,13.526068465350761,23.62494405417707,14.330963663986042,24.41053405478348,18.107672250270873,17.329166152230417,19.23629365808665,18.212759806441998,-0.22990778911873697,2390913.0002739546,16206720.7251794,-9.615903698105772,-9.78477232314371
568,002880,9.708842411415997,0.3623408968512153,931449212.8671421,4051.2097366803487,3538.9287235089873,2.13623046875,25.797185773958994,15.018177666385634,16.265373979770736,16.037600262357532,24.325465200769735,15.018177666385634,25.98363628600599,19.2254607810504,17.771767055310733,18.994265139335717,15.88087228289913,-0.24966374195167715,1551357.2534663514,18844142.440788362,-9.778447359433496,-9.693982801671794
568,002784,9.385791513051338,0.40027354665665776,884067307.7076268,3867.9641534964057,3383.753604523122,2.0599365234375,26.70169466246696,19.008182972768424,24.59157109960153,19.501910888929316,28.001940290063278,19.008182972768424,30.997766976613587,22.942882403762,19.370457136956812,22.743279720010413,17.873409271890715,-0.2319683481224129,4487260.08519113,28824558.01979612,-9.294504088591532,-9.486722674129616
