galaxyID,timestep,t,dt,z,M_star,R_halflight,R_halfmass,sigma_gas,sigma_star,SFR_10,SFR_100,sSFR_10_old,sSFR_10,sSFR_100_old,sSFR_100
431,4096,13.800820457603800,-1,0,1486476358.302920,4.186630302675930,2.8500000000000000,7.981416396835360,45.10189451612720,2702322.525213680,23771594.314512500,0.00181793844894975,-9.74042082503814000,0.015991908772536500,-9.796099696359740000
431,4032,13.4,0.4008204576038,0.03,1410000000,0.401531661827498,-1,8.095397815742420,17.884759538415000,7279.541140425280,7279.541140425280,0.00000516279513505339,-12.28711510785630000000,0.00000516279513505339,-13.28711510785630000000
431,3936,12.9,0.5,0.06,1340000000,0.00012765403182829500,-1,2.801851608210670,17.053070920154200,7013.347588102340,7013.347588102340,0.00000523384148365846,-12.28117943488970000000,0.00000523384148365846,-13.28117943488970000000
431,3648,12.5,0.4,0.09,1280000000,0.18413040861325500,-1,8.385788127005900,19.995410224797700,6260.617068205930,6260.617068205930,0.00000489110708453588,-12.31059282875220000000,0.00000489110708453588,-13.31059282875220000000
431,3606,12.151914829021100,0.3480851709789,0.12489157769989800,1223315630.6432500,3.731433451072930,2.4500000000000000,6.932679085651530,47.055989650437800,2360589.953728980,18828409.42977900,0.00192966548828263,-9.71451797036231000,0.0153912931038726,-9.8127248912611300
431,3552,11.71,0.4419148290211,0.16,1160000000,0.18501703344886200,-1,8.4634917210569,20.57637707490620,6025.898668402040,6025.898668402040,0.00000519474023138107,-12.28443616493040000000,0.00000519474023138107,-13.28443616493040000000
431,3360,11.324096901214800,0.3859030987852,0.19703539019571500,1106753590.9093100,3.2975133564903400,2.250000000000000,6.576057366826030,47.847447722989900,2455747.1174636300,21382891.516470300,0.00221887431641038,-9.65386729679246000,0.0193203723865057,-9.7139845071210400
431,3264,11.05,0.2740969012148,0.225,1050000000,0.18722469694665600,-1,8.561059895830070,21.90280453124880,5311.322629271650,5311.322629271650,0.00000505840250406824,-12.29598661620540000000,0.00000505840250406824,-13.29598661620540000000
431,3195,10.768853169142900,0.2811468308571,0.24979488250814200,1029128789.820920,3.824660231816980,2.1500000000000000,6.374811760448810,48.03474195601020,2095297.3248607600,20137229.937768800,0.00203599136044514,-9.69122406922279000,0.0195672593527122,-9.7084699986314600
431,3168,10.677995103898300,0.090858065244600,0.25880171318919200,1014064429.211400,3.3296099590667900,2.1000000000000000,6.364334626774640,48.19161339164520,1700644.5646777900,14371783.203382800,0.00167705770529819,-9.77545199364829000,0.0141724557033908,-9.8485548917406300
