galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_star,sigma_youngstar,log_sigma_pred_10,log_sigma_pred_100,SFR_10,SFR_100,sSFR_10,sSFR_100
523,004096,13.800820457547763,1.726275229920308e-12,533643965.9017991,137.3096367699588,3.043489934062378,2.9511165960082115,3.1499999999999977,37.14544924721491,31.118239160660544,1.323488331864662,1.3177459365368283,761174.2343487423,7148460.162876414,-9.845767524020403,-9.873039101799646
523,004032,13.585453191715805,0.015091542080226844,519617032.24637675,971.8143302356975,15270.169812995082,15129.074328194669,15269.94999996667,38.84648243238002,34.753496941772745,1.3131935783290014,1.3310511272836274,684805.7810610551,8325965.301714228,-9.880115960184225,-9.795248781497449
523,003936,13.262402292968432,0.03836862120590054,500866271.07801765,946.3554847886414,14938.280171103923,14798.230874409035,14938.499999967386,37.67350210387545,32.32607317365938,1.3186232711103205,1.347148045005857,733726.4322745826,10028281.872612571,-9.834187622089557,-9.698495254268611
523,003840,12.939351394333183,0.06245558197401147,481373280.2096066,921.309850378811,14605.890144530413,14467.06716267984,14606.249999968115,39.15810696235857,31.75990895046325,1.3321221319870475,1.3176076447386085,859713.3775725588,7332242.8275393555,-9.748128295409016,-9.817245140646847
523,003744,12.616300495692657,0.08740401185520805,464056922.2633234,895.2611784669301,14278.160555002458,14140.9048700815,14277.949999968834,38.50897131296754,29.925083906216543,1.3275051477670217,1.3153158154183056,825348.7164946345,7220002.940647544,-9.74993377510942,-9.80803388090373
523,003648,12.293249597044124,0.11327055523369688,447101934.204699,868.2921513618458,13966.012393700643,13829.513677132483,13965.64999996952,37.94607055539669,30.589621705338217,1.3136996985288953,1.2979796884769819,716386.598650975,6027617.147235295,-9.795259095706813,-9.870260888990051
523,003606,12.151914828889588,0.12489157771080113,440986586.7209605,858.6438988643176,13824.967784349607,13689.228107526837,13824.899999969824,38.936604863306265,32.28267703095681,1.3236994922194762,1.324683020363727,802565.9296732448,8112877.558632702,-9.739944660711105,-9.73525045838265
523,003552,11.9701986983988,0.14011755635767656,430881263.23898274,845.1694259125005,13645.131857564853,13510.339944750584,13645.249999970212,37.8271922403414,31.743053557007325,1.2910588175580735,1.2788138769723498,564082.8852209665,4930201.00427127,-9.883014686272567,-9.94149298349289
523,003456,11.647147799761662,0.16801380304286453,418306635.82555073,821.7177381887301,13341.689799775184,13208.825713503657,13341.999999970876,38.99834810382076,32.863854839092,1.2935033101429516,1.3027338352819422,584029.290881271,6464740.485914674,-9.855060125210155,-9.810943658402318
523,003360,11.324096901122946,0.19703539020413974,404468708.30538625,797.9714391014634,13043.02814906821,12911.322205715056,13042.89999997153,39.60342013712893,32.421709450785755,1.3186289656492882,1.2765802106091348,777210.1741025801,4890950.356381087,-9.716346450969128,-9.917491673371646
