galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars,sigma_allstars_wtd,sigma_youngstar,sigma_youngstar_wtd,sigma_allgas,sigma_allgas_wtd,sigma_coldgas,sigma_coldgas_wtd,log_sigma_pred_10,log_sigma_pred_100,SFR_10,SFR_100,sSFR_10,sSFR_100
615,004096,13.800820457190078,2.651657411639342e-11,2990540369.735473,2.1156784844976455,1.8311252008197965,2.593994140625,50.58119311460655,50.30125163916308,39.62937646512296,39.64903327086527,44.421044173879565,50.30125163916308,48.212086097005454,48.95829101870304,1.708577451470006,1.626239202324257,30082994.5167563,127071116.75290053,-8.997428604846435,-9.371702822695344
615,004032,13.585453191604858,0.01509154208808737,2802948341.5367827,16.35428719610006,15.841957930387686,16.354522705078125,33.3264729220176,33.41443684796866,39.823116045348556,39.8183485520374,34.45042604850972,33.41443684796866,48.39783555308576,47.93555681572535,1.5961909793258364,1.5908771981367653,9415295.71647507,89051414.00456282,-9.473781128839343,-9.497974273960168
615,003936,13.262402293227826,0.03836862118689229,2592141883.810696,15.999836879845134,15.492916889467365,15.999908447265625,32.71939903139116,32.67894206634566,31.212778195183272,31.199263143384876,33.1449199452222,32.67894206634566,45.573640905187084,45.1597698414912,1.5973849275890797,1.6259408287637551,9707812.106108831,131035039.12648255,-9.426537407439762,-9.296271326734416
615,003840,12.93935139485945,0.06245558193408554,2341830411.584311,15.635930508151338,15.135958701484258,15.635910034179688,33.29484676616347,33.27185000959465,33.48127521114945,33.48358118189901,36.328649377712544,33.27185000959465,38.990428910545084,39.16948737352949,1.6399657504736234,1.5794896967025707,15570473.217338864,82360979.92073418,-9.177253629723097,-9.453833936397544
615,003744,12.616300496477507,0.08740401179350525,2123336261.6617534,15.271402909658267,14.780783678834567,15.271148681640625,45.739421168154394,45.60523570299953,38.88304266410895,38.88579787213336,48.15249836861415,45.60523570299953,51.21344173821987,51.666376141438114,1.596548101378595,1.5599540659064997,10093948.028088298,68594801.33578582,-9.322957712259127,-9.490727573924039
615,003648,12.293249598130714,0.11327055514508232,1926291138.0787065,14.907527296744941,14.423263915154166,14.907684326171875,33.76113679350966,33.553483657744685,25.5807112773683,25.581026202232966,35.66457589109763,33.553483657744685,35.54417107988782,35.918887042129185,1.5594118580412542,1.5318876644193202,6980929.980138333,52169437.344643205,-9.440808644680686,-9.56730577384947
615,003552,11.97019869977999,0.1401175562407012,1769429960.9888566,14.561907570942644,14.08366499230876,14.561920166015625,30.046236470319116,29.920590498331435,26.823616692032044,26.829719055520982,31.456813648268557,29.920590498331435,34.78221063675279,34.897728081168914,1.5307503737125336,1.508452623879943,5259359.0545967985,41517986.38985776,-9.52690055576007,-9.629597094521115
615,003456,11.647147801405485,0.16801380289812168,1646324820.205176,14.230192937347784,13.75712608495199,14.2303466796875,30.48812390657698,30.41741973009674,27.43939443580138,27.452076927441112,30.110820489746,30.41741973009674,35.08975244222684,35.163643817450165,1.4798338805484068,1.4852455486451825,3115852.9037343087,33002496.764377452,-9.722938578834526,-9.697968728565717
615,003360,11.324096903066124,0.19703539002602358,1546984327.4345486,13.893745518989755,13.425275261740554,13.89373779296875,28.682221510748914,28.600032723526336,23.269765140557332,23.290153618265304,27.87687656056065,28.600032723526336,33.62379474302973,33.59851289405561,1.446958257292451,1.441606320939055,2228081.7228136784,21047378.264339127,-9.84155479777836,-9.866287907576925
615,003264,11.001046004713322,0.22726672633958378,1429069301.45547,13.563788941447616,13.103105032342118,13.5638427734375,28.170907856804767,28.007181487881514,19.229158806850368,19.212335389113928,26.97162938022273,28.007181487881514,31.609350315339864,31.641938230703456,1.46220390714527,1.4604964367552822,2669189.782417204,26210348.914714944,-9.728673836314586,-9.73658048767406
615,003168,10.677995106373704,0.25880171294229914,1327281171.939796,13.22573359761708,12.771481751871395,13.225250244140625,27.234805205517784,27.163608931839224,21.234165750576643,21.18189798555153,26.407116371239308,27.163608931839224,30.50501068438624,30.583260146912675,1.451964178914241,1.4536180938860372,2434878.2394400463,24782794.24946906,-9.736485685381334,-9.728812662463376
615,003072,10.35494420801531,0.2917451294049569,1237089935.5958571,9.458379024302028,8.389746621491687,9.458541870117188,28.161697296412424,28.153481766203235,19.185834959222746,19.18093962387405,26.97070882663194,28.153481766203235,31.04750965648568,31.13236621503846,1.4428356002582319,1.4441117764900753,2245668.7773774774,22765483.21221187,-9.741055572862027,-9.735124400764578
615,002976,10.031893309655967,0.32621427159694033,1157886716.549067,9.30384919514486,8.246486321365177,9.30389404296875,28.291774158709064,28.352342763023582,19.50385955691704,19.5075535633703,27.670283620692913,28.352342763023582,32.79624396173364,32.845702975238716,1.4535926004910045,1.4464909849524552,2560561.5976268263,23728705.179553058,-9.655330843855005,-9.688392031246979
615,002880,9.70884241128582,0.3623408968661261,1092260447.9312606,12.211685599178887,11.774349806843842,12.21160888671875,27.394668940363943,27.443231366433892,20.731188888056895,20.703925887092204,26.123490678165496,27.443231366433892,31.136026807536382,31.075229669452312,1.4361865197589254,1.4272396343450158,2155014.7283731545,19576565.315904498,-9.704875964933711,-9.746589709888513
615,002784,9.385791512922514,0.4002735466721661,1032669024.8631046,11.866727056118924,11.433466828091065,11.86676025390625,27.621313026805055,27.641745886678578,20.155018715526786,20.135328469733153,25.739347044584076,27.641745886678578,31.315245789277267,31.260348887756948,1.4398018709111462,1.4314669935576707,2271593.5933265574,20768952.81090122,-9.657630515303103,-9.696546550884241
