galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_star,sigma_youngstar,log_sigma_pred_10,log_sigma_pred_100,sigma_star_m,sigma_youngstar_m,sigma_coldgas_m,SFR_10,SFR_100,sSFR_10,sSFR_100
515,4032,13.5854531916112,0.015091542087638200,1071391666.4651600,5.160761678467,5.134970455177,5.163726806641,45.38637130473860,36.55743467714750,1.424530393013350,1.4539497257250000,69.96557864873520,71.3203059116976,79.97881311277490,1910431.9157148700,26203729.077941000,-9.748816699163550,-9.611585163421750
515,3936,13.262402293228100,0.0383686211868757,1009755143.9988700,5.064527675609,5.033780815775,5.063323974609,43.70984796454030,35.807097065769,1.4021297259465800,1.4059844831423900,67.56305131089600,68.02445840780940,77.00172194223300,1523246.3266130900,15877369.550261400,-9.821445934801160,-9.803437521047880
515,3840,12.939351394895100,0.0624555819313837,960808548.3288460,4.9647007234229,4.928867840633,4.965362548828,46.60638123100320,35.3647626468409,1.4469958787151400,1.4149312842208700,71.44781194824690,68.19245758324240,80.15308836829740,2499511.099144280,17695676.934248200,-9.584781788748040,-9.734769677450670
515,3744,12.616300496535600,0.087404011788935,923882730.3545940,4.857758911208,4.815065693845,4.857025146484,47.731748276891800,38.41603135119680,1.4414507949400200,1.4344525968057200,72.18303678721100,76.25866507927760,85.44689087733780,2378281.813578700,22054393.42261080,-9.589353534263180,-9.622121731576650
515,3648,12.293249598190300,0.11327055514021900,882796261.3902690,4.742419360745,4.693127605368,4.7429656982422,47.434762426272900,36.30335963414700,1.387016522062120,1.3852522581874500,68.76969148194990,81.06997472869650,81.13714808397580,1337159.311288290,13119357.46164660,-9.819677332392060,-9.827947919874050
515,3552,11.970198699825700,0.1401175562368270,841446794.6293350,4.624255241960,4.5670554569354,4.6239471435547,47.58191668022150,38.7849586332712,1.3490617800030100,1.344670916974600,67.2482426963696,75.43126063538240,76.50995428907630,897767.2896518730,8561596.40766814,-9.97186288264467,-9.992471908977820
515,3456,11.647147801490400,0.16801380289064400,810653514.6861450,4.519227638193,4.453598832437,4.520111083984,48.66037722181660,35.84509825628680,1.4289711523843500,1.4007538551783500,68.58552189751160,79.93704841678800,83.76063624364180,2150028.1270660200,15844408.62260920,-9.576391128504200,-9.708959235774940
515,3360,11.324096903127800,0.19703539002037400,785428906.6461070,4.409995455838,4.334010266943,4.4092559814453,47.919059988186600,39.15379609657990,1.3659919141522000,1.3750974140590100,67.96815560180850,76.08485244032220,78.98294784796700,1096290.1031935500,12098707.363846400,-9.855181387334180,-9.812367908443860
515,3264,11.001046004785700,0.22726672633266800,744952342.0260350,4.319032830280,4.232206388149,4.3190765380859,47.72172317770830,34.86454794792650,1.3813713793661800,1.343179970498750,66.59421630508830,71.25178070966550,74.14414482258970,1312296.6564175200,8673885.070818480,-9.7540964675557,-9.93391482641403
515,3168,10.67799510642010,0.25880171293767000,718813782.3194520,10.590705156851,10.590326306001,10.590667724609,47.71950044964250,35.11377824021090,1.3977237273200900,1.3892570635962400,66.67804663873450,78.7743771936682,79.00824022724620,1581432.7172638000,14426135.931500900,-9.657565676149680,-9.69746637549839
515,3072,10.354944208062300,0.2917451294000530,691904598.7085050,10.335690844109,10.33554311065,10.335731506348,47.98913977046150,35.684098320481000,1.405941380363950,1.380447814161600,65.22772000326300,63.3910912314803,77.20900568284970,1746452.0575205100,13240221.52403140,-9.597889548964840,-9.718150965721860
515,2976,10.031893309701400,0.3262142715919840,664014793.2533360,10.08791953875,10.087895430567,10.087966918945,49.29995954040140,42.19338929156410,1.3690522090303100,1.366539464330090,65.8173866955376,70.19173792423390,74.44294100766020,1182283.4180260100,11504177.252022900,-9.749456156422340,-9.76132219036937
515,2880,9.708842411339710,0.3623408968599540,639826028.7325290,9.841331299253,9.841327069551,9.841384887695,50.321275690631100,43.17188022496210,1.3503154806538300,1.3295659064085800,65.77852915158890,64.75251034218790,69.51895413368480,973486.7446210710,7766931.12366901,-9.817731861249230,-9.915812449727150
515,2784,9.38579151297432,0.4002735466659300,622354837.2173310,9.599006019423,9.598870520706,9.599075317383,48.66803755548730,32.03990182742250,1.3967651282422600,1.3759326059386200,65.97639460045300,61.002951387406900,73.61115010719000,1626018.3937728200,12959319.934524600,-9.582912615334240,-9.681455857740390
515,2688,9.062740614618290,0.4401803358938530,589940584.938168,8.796675014322,8.796249214393,8.796653747559,49.289119107372500,41.6341753290341,1.3501638727693200,1.3047027647994800,63.78007283102960,68.0295419893303,66.54026617803750,992415.5369463040,6044391.123155250,-9.774114719636280,-9.989455715370640
515,2592,8.739689716252550,0.48225232317123800,577140982.3911300,3.743259212726,3.5829622048399,3.7432098388672,51.34225941119890,36.4592420134757,1.3973579962609900,1.36264380279205,66.24012862566060,67.0210486734478,74.87431346931490,1670538.1996525100,11437419.426637300,-9.538425503403250,-9.702953866756970
515,2496,8.416638817899690,0.5267076099765930,544211319.392121,3.651504788752,3.484613931659,3.65142822266,50.34180036720230,39.41125114699460,1.3454342750850100,1.3458742847637300,63.08872486225010,63.38998466104280,70.46092775979810,962617.8810561140,9672584.634610460,-9.752313646070850,-9.750225032236700
515,2400,8.093587919534100,0.573796361307009,521843488.3842980,3.553295999780,3.3682786837598,3.55316162109,49.869655371830000,39.6028368773406,1.3672409729111500,1.3283017676177500,61.807221498064600,57.99599444811490,68.55629838096140,1235713.3808918100,8070148.8449088200,-9.625622519218110,-9.81065872379267
