galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars,sigma_allstars_wtd,sigma_youngstar,sigma_youngstar_wtd,sigma_allgas,sigma_allgas_wtd,sigma_coldgas,sigma_coldgas_wtd,log_sigma_pred_10,log_sigma_pred_100,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
634,004096,13.800820457575139,-1.7114978012148225e-13,446934822.90385973,3176.6741649005853,1657.8073445288655,1.8310546875,22.57880953889663,22.703032899256907,17.737396055569135,17.734426213970305,24.360039344370428,22.703032899256907,24.196266646777694,24.137880951558355,1.2950078824823408,1.304052217024277,1.0,583457.8923014032,6444087.001659462,-9.884234675190914,-9.841082798811694
634,004032,13.5854531917821,0.015091542075529837,437893811.6147536,3101.6529241341896,1609.9346274363388,1.678466796875,21.616383518288664,21.674857404172492,12.53009763967169,12.516698525701615,23.16838720851753,21.674857404172492,21.69180018786356,21.57407546287548,1.3027827748907663,1.2809063672095626,1.0,638943.2369989263,5023783.739883849,-9.835906530079482,-9.94033787177176
634,003936,13.262402293139631,0.038368621193355164,423048101.9068133,2992.2961752116244,1540.8389914578106,1.678466796875,21.42316299075398,21.510340635207466,14.804137750912076,14.825127905560615,21.840433547508688,21.510340635207466,19.865374338005683,19.817662801524126,1.2740524972391976,1.244076649783001,1.0,470105.2397153013,3380418.2507057684,-9.95419465904866,-10.097419313064911
634,003840,12.939351394490968,0.06245558196204101,410573927.690331,2883.975312160069,1473.3317376137,1.52587890625,21.725130308877624,21.80414191045646,17.46043284743707,17.455357352635108,23.353489858976506,21.80414191045646,21.024924321789523,20.946198995298747,1.308493895523419,1.2702532732357008,1.0,692279.8663644997,4543858.987683982,-9.773109666124384,-9.955966522105792
634,003744,12.616300495852817,0.08740401184261687,399372326.70351666,2777.8121018450825,1407.6590404024823,1.52587890625,21.87781824486811,22.006632159460015,15.72349261236918,15.705682156251259,24.03995959349148,22.006632159460015,21.10980978187855,21.040998644472573,1.300008897380206,1.2726424964735532,1.0,635273.3621184264,4699014.052323175,-9.79841732330072,-9.929371224680422
634,003648,12.293249597195336,0.11327055522136481,390117766.6198651,2672.697767764411,1343.7986876965651,1.4495849609375,21.349465320273247,21.503470811581153,21.48969312097144,21.478285820998757,25.52799174290235,21.503470811581153,24.24206452409176,24.144736261788637,1.3199330753279552,1.2868626264553376,1.0,796405.4001251125,5530800.969516008,-9.690061533111336,-9.848407698962678
634,003552,11.97019869852311,0.140117556347149,379845120.36449283,2569.461158514181,1281.5292595134642,1.4495849609375,21.2856437407993,21.436570524320377,12.785832313028157,12.75479910703025,23.27203795565903,21.436570524320377,22.582190504860346,22.51854477801654,1.2720164914549665,1.2831174304327804,1.0,472917.1605098182,5345338.2092923345,-9.904821478334096,-9.85163136264566
634,003456,11.647147799852378,0.16801380303487704,368391381.4658481,2468.13296721649,1221.8250587544076,1.48773193359375,20.93813765601162,21.065564766063922,17.408958910330036,17.42601655697113,22.01889042097687,21.065564766063922,22.737631510465153,22.617341031191835,1.2657356113494977,1.2560950339561825,1.0,444864.9409973031,3999431.574932183,-9.918081280170579,-9.964311190328441
634,003360,11.324096901198761,0.1970353901971908,355755105.00052583,2367.989467092136,1163.812247777233,1.4495849609375,20.69349353635864,20.83508060022887,15.98416966804051,15.992997502709342,23.168918588508337,20.83508060022887,23.003642506175687,22.92593926178873,1.3062126281685973,1.25772934554368,1.0,702382.3826095914,4110231.954644738,-9.70457753090795,-9.937284809511274
634,003264,11.001046002549757,0.22726672654630586,345259034.4255412,2268.921528408373,1106.6175960841308,1.373291015625,20.989041803100587,21.15251871576617,16.299399454835783,16.29105977001302,24.36506158307079,21.15251871576617,27.440341413617478,27.276340426924758,1.3058988671163587,1.280722008078146,1.0,705888.880649112,5343167.289492693,-9.689408710797347,-9.810346279880314
634,003168,10.67799510389531,0.2588017131894919,331588857.6520917,2172.8503710167706,1052.1143322122566,1.2969970703125,21.08859482412924,21.200826453368514,17.06090731228441,17.082690366862323,23.294130317757066,21.200826453368514,24.06098995718935,23.938859027750645,1.2973909427634522,1.2760878569050147,1.0,649853.7014986883,5133067.769591943,-9.707784331592004,-9.810222930474575
634,003072,10.354944205253654,0.291745129692924,321349846.84518915,2077.762250819379,999.0752209261173,1.25885009765625,21.030752835574503,21.129441791407963,18.879434213910642,18.830673188861347,23.486197873254135,21.129441791407963,25.270442001644184,25.168696794543546,1.294336140896026,1.266706907089599,1.0,633852.2703601281,4666804.6435030615,-9.704990047020104,-9.837958475941102
634,002976,10.031893306618887,0.32621427192856484,313279213.6855454,1984.6768787350215,946.8956882272888,1.220703125,20.259044036916116,20.369976718294566,16.501065422670024,16.50208392158941,22.84073244452855,20.369976718294566,24.595751301687724,24.496210342301374,1.2868010191199755,1.2672561338146597,1.0,587290.7857774971,4728554.927658619,-9.727078392978415,-9.821203141831425
634,002880,9.708842407976087,0.36234089724523405,304159880.4587525,1893.2555784949966,896.3632664070572,1.1444091796875,20.301744981205935,20.3823058458044,16.49272480991041,16.51401223971104,22.600738171529596,20.3823058458044,26.45618331476201,26.30996760131933,1.2661035206587747,1.264850780849441,1.0,470714.4770597935,4642157.587266549,-9.81034437337793,-9.816382049474928
634,002784,9.385791509340931,0.40027354710332835,294178628.8472395,1803.32837061148,846.6602109064374,1.068115234375,21.178634524206434,21.201656253083193,20.48146618662045,20.472753770710938,22.020563652714614,21.201656253083193,27.304475880659854,27.122166893884547,1.2749263838884455,1.2698064119314116,1.0,524072.86386883457,4951010.411996152,-9.749219446592122,-9.77391727975277
