galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_hotgas_global,sigma_hotgas_los,sigma_gasNearYS_global,sigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
613,004096,13.800820457786752,-1.4837148614742067e-11,549154178.3215966,4976.569203997629,4376.214708206309,2.2125244140625,23.50987098834853,13.547660209147576,11.791132503139263,14.33716261196081,23.859363596217367,13.547660209147576,20.550882622864865,16.4644227024364,17.67794654347759,17.106021194628624,12.583460272041561,12.078609903684406,-0.19820981385368847,1006165.814002109,8542576.488683846,-9.737024734912493,-9.80810541626182
613,004032,13.585453192008373,0.015091542059498232,535073892.1828088,4862.4333401381455,4280.673801606038,2.2125244140625,23.55517705715668,13.4459539128155,13.856431914617172,12.246728552791925,25.32194146179243,13.4459539128155,22.722484801647067,17.30040007311154,17.82741518204769,17.034974709886644,21.309043934803512,13.644402710422856,-0.1934750364457238,1310847.1890127796,9436292.138275385,-9.610861693894877,-9.75361238324616
613,003936,13.262402293346728,0.03836862117817856,512548911.883013,4693.740242963677,4139.118621457184,2.13623046875,23.6785494984709,13.478127186921327,13.042569721301033,13.183470591912478,24.219019795291487,13.478127186921327,21.354788078732494,16.85463199838997,17.696347317977477,16.908657689532205,23.899121306894035,12.792054341257654,-0.20514424362224842,939983.7788593866,6544592.0515573695,-9.73661495675071,-9.893852735307421
613,003840,12.939351394691679,0.062455581946814054,492670653.9533197,4527.26041025536,3999.0744185584417,2.0599365234375,23.26882615423192,11.851033302085888,11.483256010839275,11.713241750128095,22.516359862918076,11.851033302085888,20.327565040550944,15.848920039347313,17.279436472205138,15.562194990734483,12.623010018794046,11.998320034913876,-0.18493590811576974,730471.3847158756,6013461.036824425,-9.828953486517909,-9.913432192809742
613,003744,12.61630049603152,0.08740401182856782,476344174.45981085,4363.065026130538,3860.3124995886183,2.0599365234375,22.356574425933537,13.4144397870783,12.123359025167089,12.349237261228549,22.540699051655547,13.4144397870783,22.087112003151535,16.72622830349222,16.93782941761032,16.493936652063834,2.2365750973047582,12.397260667634825,-0.20074123254450715,562709.5823605878,6291157.471431131,-9.927636547498908,-9.879190302329004
613,003648,12.293249597379718,0.11327055520632812,459023062.7937102,4201.524453207367,3723.2670150938575,1.9073486328125,23.863120831351313,14.192734189905252,17.102427615799186,14.743633199395227,23.974299626931536,14.192734189905252,25.633807775705954,18.69027213073628,17.54322218769157,18.255754724050853,12.90768409778323,14.088802181000396,-0.21264597690043455,561092.83141604,9362692.64958084,-9.912799786291131,-9.690433739462401
613,003552,11.970198698703772,0.14011755633184791,444029159.8304444,4042.7889734586433,3588.2372314061754,2.0599365234375,22.54316978741959,13.471950156830424,16.01229360179282,13.604180862279808,23.77549437223628,13.471950156830424,26.950868678606827,19.022720838682694,17.612639483145077,19.90413939003001,22.152414216334154,17.039868211480062,-0.21248323597362712,883451.804246008,8777375.082288533,-9.701228629570661,-9.70404683419989
613,003456,11.647147800046218,0.16801380301780905,424479449.8879009,3883.8610365155846,3453.728208980411,1.8310546875,27.68641033601491,17.15354728315004,24.880815157770236,18.858507761997288,28.06536313712542,17.15354728315004,27.57179241460506,18.60205231047341,19.61366597977847,18.339799497841234,11.384105891746474,16.8614396597845,-0.22004826011365586,644049.3238272067,6039688.253001236,-9.818937541195636,-9.84684214732704
613,003360,11.324096901381745,0.19703539018041719,408357580.10548055,3727.4074494541655,3320.0222046467534,2.0599365234375,23.195471061454864,15.064648622787384,16.358035361018725,14.28518087250928,22.659288717545994,15.064648622787384,26.312905568426533,18.20710295364801,16.867946149132663,18.86995176550136,26.000856631166652,14.600994324270467,-0.21264392318336847,909165.4914788363,6802094.653510401,-9.65239767838474,-9.778397950559167
613,003264,11.001046002695938,0.22726672653233898,393816692.4538204,3575.127736034247,3189.078181704725,2.32696533203125,21.287714171077628,12.616563022227,14.228364684369982,12.329040594697966,21.154405140736127,12.616563022227,26.224500622323674,18.518172808955363,16.072907421325166,18.361476583952985,24.6908168873934,12.728613933183642,-0.19366880795366093,855090.1803174044,7206828.571702785,-9.663282201239088,-9.737549928700334
613,003168,10.677995104040239,0.2588017131750366,378223741.9844841,3425.6877367605985,3060.59187790283,2.288818359375,22.48978712695913,14.088531627184814,16.520974342159427,14.218415958423769,20.219658951887542,14.088531627184814,25.110118411664082,17.24215565770253,15.80501087390667,17.373412149639442,29.33993129685253,13.236691787235273,-0.19614355138128278,619064.6089041474,6009359.277705681,-9.786012810352215,-9.798920617365157
613,003072,10.354944205374226,0.29174512968035277,363841919.49076855,3279.2870673933257,2934.388284913605,2.44140625,22.383140050400538,12.982150710886064,16.804294733447808,12.749636867287442,18.235369028526254,12.982150710886064,23.041802932992123,16.712981201180273,15.565960525545911,16.574516024347773,15.881278397922983,12.742199738660702,-0.21665635401207922,454461.1539750329,3853166.4502152465,-9.90341596727694,-9.975094963986491
613,002976,10.031893306725554,0.3262142719169193,351315941.82022816,3135.906066786412,2810.3521442962415,2.3651123046875,21.6167783633329,11.264624591161885,13.866778148609011,12.065881109570993,19.675846394006374,11.264624591161885,25.130079030126016,17.271733613743855,17.11576912916142,17.22497156706791,0.0,12.034053258812165,-0.20770456740917764,393737.4608766328,4566530.412433115,-9.950491121114508,-9.886111503081537
