galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars,sigma_allstars_wtd,sigma_youngstar,sigma_youngstar_wtd,sigma_allgas,sigma_allgas_wtd,sigma_coldgas,sigma_coldgas_wtd,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
615,004096,13.800820457190074,2.6516640990914228e-11,2990539755.754612,4449.517623173972,2438.9969489778587,2.593994140625,50.581203436105255,50.301261474083944,39.629378706853515,39.64903552683506,44.063296627259746,50.301261474083944,42.27783373061982,42.49110156172658,1.0,30082994.5167563,127071116.75290053,-8.99742851568244,-9.371702733531349
615,004032,13.585453191604856,0.015091542088087278,2802947727.552734,4347.153907359294,2381.78116860306,5.18798828125,33.32647495276989,33.414438739728034,39.82311537611574,39.81834788364589,34.83114465384213,33.414438739728034,48.00417637357596,47.62852343806525,1.0,9415295.71647507,89051414.00456282,-9.473781033707404,-9.497974178828226
615,003936,13.262402293227824,0.038368621186892445,2592140654.376514,4203.488775824874,2301.770938032087,7.32421875,32.71940390798533,32.67894648856247,31.212778122236237,31.19926307309892,32.559304479175154,32.67894648856247,44.56744298590277,44.157493993444085,1.0,9707812.106108831,131035039.12648255,-9.426537201456975,-9.29627112075163
615,003840,12.939351394859447,0.06245558193408571,2335879946.6836424,4068.2086337649725,2224.098093236556,7.476806640625,33.32838791991828,33.30379016642538,33.508840483160554,33.51105622768305,34.9088625371156,33.30379016642538,34.77732900888405,34.64612519002076,1.0,15569486.353417177,82344826.09099495,-9.176176233134436,-9.452814201634041
615,003744,12.616300496477503,0.08740401179350518,2123325200.9144917,3943.070280691557,2147.7654416641185,4.730224609375,45.73939474232329,45.60521252496343,38.88303314928359,38.885788371596576,44.95287355962786,45.60521252496343,45.5329141033433,45.514560665342515,1.0,10093948.028088298,68594801.33578582,-9.322955449954234,-9.490725311619146
615,003648,12.293249598130712,0.11327055514508234,1926289294.6316102,3806.695515254592,2066.103583690796,12.054443359375,33.761155812864246,33.553501654632996,25.58071193432591,25.581026897994164,32.82931942550808,33.553501654632996,28.90766005830994,28.815514403126148,1.0,6980929.980138333,52169437.344643205,-9.440808229063716,-9.567305358232499
615,003552,11.970198699779989,0.1401175562407011,1769428731.5293083,3667.5938002612966,1986.914087757781,19.683837890625,30.04623928177304,29.92059318727387,26.82362025657228,26.829722640393978,29.974182411025996,29.92059318727387,30.54992608031935,30.44958927287703,1.0,5259359.0545967985,41517986.38985776,-9.526900253997528,-9.629596792758573
615,003456,11.647147801405483,0.16801380289812184,1646323590.7386842,3529.479127016731,1909.4675836695192,25.787353515625,30.488125963049107,30.417421622691673,27.439396991686817,27.452079495499895,29.472345595409763,30.417421622691673,31.65977334545411,31.600173090318524,1.0,3115852.9037343087,33002496.764377452,-9.72293825450563,-9.697968404236821
615,003360,11.324096903066122,0.1970353900260233,1546983713.4317343,3392.9821307501875,1833.1103783946687,30.517578125,28.682218728912854,28.600029920769202,23.269765515444526,23.290154003369985,27.708096715240472,28.600029920769202,30.809862343270304,30.76281793819758,1.0,2228081.7228136784,21047378.264339127,-9.841554625405516,-9.866287735204082
615,003264,11.00104600471332,0.22726672633958356,1429069301.4554114,3258.7798316862395,1757.2918746123937,36.773681640625,28.170907856804767,28.007181487881514,19.229158806850368,19.212335389113928,26.426674617343867,28.007181487881514,27.074053801744892,26.997536813010722,1.0,2669189.782417204,26210348.914714944,-9.728673836314568,-9.736580487674042
615,003168,10.677995106373702,0.2588017129422996,1327281171.9397867,3126.603866270128,1684.6699410744563,42.572021484375,27.234805205517784,27.163608931839224,21.234165750576643,21.18189798555153,25.799998328610616,27.163608931839224,25.777532367163307,25.761931466386844,1.0,2434878.2394400463,24782794.24946906,-9.73648568538133,-9.728812662463373
615,003072,10.354944208015308,0.2917451294049577,1237089935.5958617,2996.7117213772754,1614.2827695356432,46.9207763671875,28.161697296412424,28.153481766203235,19.185834959222746,19.18093962387405,26.963554807241437,28.153481766203235,26.42428287719331,26.42125611347477,1.0,2245668.7773774774,22765483.21221187,-9.74105557286203,-9.73512440076458
615,002976,10.031893309655965,0.326214271596941,1157886716.5490563,2869.139423190085,1544.4586433057834,51.4984130859375,28.291774158709064,28.352342763023582,19.50385955691704,19.5075535633703,28.42734863197081,28.352342763023582,28.702106327485055,28.713505417323383,1.0,2560561.5976268263,23728705.179553058,-9.655330843855,-9.688392031246975
615,002880,9.708842411285818,0.36234089686612614,1092260447.9311788,2743.421820454081,1476.0303621405474,56.15234375,27.394668940363943,27.443231366433892,20.731188888056895,20.703925887092204,26.63878393388795,27.443231366433892,27.794780209702754,27.698864174223335,1.0,2155014.7283731545,19576565.315904498,-9.704875964933679,-9.74658970988848
615,002784,9.385791512922513,0.4002735466721663,1032669024.8630395,2619.05910468577,1409.9095729647952,61.03515625,27.621313026805055,27.641745886678578,20.155018715526786,20.135328469733153,26.42335984139482,27.641745886678578,27.878829357381086,27.813795667995663,1.0,2271593.5933265574,20768952.81090122,-9.657630515303076,-9.696546550884214
615,002688,9.062740614554222,0.4401803359019763,978957554.6771762,2496.746807634705,1343.5989209423624,64.697265625,28.101204257341024,28.140264735952847,21.760964617938672,21.773655529897148,28.19691430960214,28.140264735952847,30.436817464785932,30.366382773616152,1.0,2238988.4132161452,22372741.281902358,-9.640712016105384,-9.641044661725104
