galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars,sigma_allstars_wtd,sigma_youngstar,sigma_youngstar_wtd,sigma_allgas,sigma_allgas_wtd,sigma_coldgas,sigma_coldgas_wtd,log_sigma_pred_10,log_sigma_pred_100,SFR_10,SFR_100,sSFR_10,sSFR_100
571,4032,13.585453192038700,0.015091542057347600,438108800.2401800,6.204069123752750,6.168604789018280,6.2039947509765600,25.313877996982200,25.305943723745500,15.997271300741400,16.002100796929500,34.77298927346230,25.305943723745500,41.60528849814770,41.79601943215480,1.2696169640721200,1.2531198350187300,443694.46503721900,3701116.242130940,-9.994497965838510,-10.073249251554400
571,3936,13.262402293370300,0.038368621176454200,429156933.5653590,6.064553040064810,6.032946419131330,6.0645294189453100,25.157969490141900,25.17413618146580,16.16009327622480,16.16791823641770,33.3023213574885,25.17413618146580,39.26978966275090,39.42983844290600,1.2615397884930100,1.2504776574803400,408144.35023358800,3613921.476119250,-10.021802344360900,-10.07463742158110
571,3840,12.939351394680100,0.062455581947690900,420961695.6566200,5.9255234724061800,5.897839361312300,5.9255218505859400,25.41048013979240,25.44180484599650,17.810754852091800,17.814516141730600,31.78084512967600,25.44180484599650,37.24634145069010,37.39364863866240,1.2450129972884000,1.2486783456504800,341968.1726565390,3560418.0411082500,-10.09025689242170,-10.072741587109400
571,3744,12.616300496016000,0.08740401182978420,412946690.9165940,5.783370906118240,5.7592303562242400,5.78338623046875,25.1501144873896,25.17838624762870,17.17430538707660,17.158464719603000,30.279833565809000,25.17838624762870,35.59923386213800,35.70806780398150,1.250130526272430,1.2507195764828500,363550.12910264700,3659152.972288040,-10.055329687107300,-10.052513424599500
571,3648,12.293249597330100,0.11327055521037500,405327412.054331,5.637307612578550,5.616209191967660,5.6372833251953100,25.189449474568100,25.20642448925910,17.322283971170100,17.342568042444400,29.4571309317646,25.20642448925910,33.600210435385000,33.70981099248840,1.2549397768742400,1.2478884895408900,385155.67388626300,3563752.217829480,-10.022169675800600,-10.055898475223100
571,3552,11.970198698613900,0.14011755633945900,397721076.58605400,5.495123965870950,5.476709967000030,5.4952239990234400,25.32121701130400,25.37159280415290,16.514182627126700,16.514321890676100,28.10282746346470,25.37159280415290,32.1462811685433,32.2223715360088,1.253069207794420,1.2428238268303400,379148.30686817800,3386706.253815980,-10.02076948539710,-10.069801076612000
571,3456,11.647147799961600,0.16801380302525600,389977882.20575400,5.356367028102720,5.340414493746190,5.3563690185546900,25.159075640835400,25.1849127061527,19.143301707809100,19.148986514563900,27.35663951395890,25.1849127061527,31.215321492220500,31.25973610651770,1.242860877958130,1.2470610895978100,340518.8642440960,3566585.136401610,-10.058898800301600,-10.03878738115720
571,3360,11.32409690129910,0.1970353901879960,381515384.06638600,5.222919432082110,5.20981649572953,5.222930908203130,24.683126572223000,24.70627884318920,17.055953309175100,17.052816484135900,26.29643852883960,24.70627884318920,28.8875871802289,28.91749706714890,1.2612524708623700,1.2212720490963500,419475.8793458070,2698751.880580440,-9.958805061821690,-10.150349096979300
571,3264,11.001046002625700,0.22726672653905100,374028717.3589190,5.101104987964520,5.091104732140410,5.1010894775390600,24.759714762445800,24.79313905067660,17.400766099718700,17.391465487344100,25.898789182274500,24.79313905067660,28.139547998624900,28.1255939781208,1.2471272851216600,1.2320179806147000,360804.65111547300,3053842.517563570,-10.015632820578400,-10.088058310621900
571,3168,10.677995103978300,0.25880171318121700,366821914.2627110,4.983976833126370,4.976519571583890,4.9840545654296900,24.804994150582700,24.879637534707600,19.777278119070100,19.75877666768230,24.967980422833700,24.879637534707600,26.44470895570170,26.4204379385318,1.2408423894293700,1.221326834598650,338328.5656791330,2727371.7149150900,-10.03511660531890,-10.128710940708800
571,3072,10.354944205320100,0.29174512968600000,359664443.7359980,4.860007696117040,4.854527617377060,4.85992431640625,24.328109943686400,24.355558536394800,16.537562545843900,16.534615429232200,24.332322510804100,24.355558536394800,25.097899646850900,25.059614729945400,1.2419490648060800,1.225798888066280,344255.4485381750,2879959.464638160,-10.019016683213600,-10.096511130667200
571,2976,10.031893306677600,0.3262142719221510,351971760.0039440,5.805894702363250,5.6819507834619700,5.8058929443359400,24.200739988700000,24.210444575815100,16.003860690988500,16.00298234970340,23.99873093251260,24.210444575815100,25.488022260536600,25.42646640054930,1.235962612712500,1.229188557565360,324044.0742735880,3006638.607855390,-10.035903735814300,-10.068426589942500
571,2880,9.708842408030150,0.3623408972390420,344920705.8859370,5.6917547417477000,5.57333216322366,5.6916046142578100,24.497050908526400,24.509617421042100,15.369228530789500,15.343771531715600,23.94260123029,24.509617421042100,25.03747972954140,24.948629776560100,1.2734692801945800,1.235941489322660,493260.8814559200,3256915.5711322300,-9.844642591547750,-10.024912765704800
571,2784,9.385791509383660,0.4002735470981840,338196572.73845500,5.560585530955930,5.448026201091530,5.5606842041015600,24.483429487126500,24.552017781766100,18.178435380590500,18.14856946825870,23.149120638566300,24.552017781766100,24.451118808849300,24.372149770535600,1.2397554284731100,1.2245412686708300,341499.00288856200,2885812.972819780,-9.995779762209660,-10.06890102077360
571,2688,9.062740610743450,0.4401803363850960,331726558.36089700,4.359398708983190,4.358607458771530,4.359397888183590,24.143095730963900,24.171180841557200,16.869148239465400,16.880911099459200,22.451793243547700,24.171180841557200,24.687074961959600,24.501779298684800,1.2113974214036600,1.222199155776540,250759.98696261600,2826175.8777437800,-10.121522004375800,-10.069581057723500
