galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_youngstar,sigma_younstar_wtd,sigma_coldgas,sigma_coldgas_wtd,log_sigma_pred_10,log_sigma_pred_100,SFR_10,SFR_100,sSFR_10,sSFR_100
597,4032,13.585453191809900,0.015091542073560000,537105003.7888240,14.408565373322800,13.989547180063700,14.408645629882800,15.895896757844400,15.913086978139100,22.534837562774400,22.38681369608060,1.3290972144483700,1.3136404227804500,807960.1623624090,6823315.2699441400,-9.822669250589080,-9.89606376014276
597,3936,13.26240229317190,0.03836862119098760,520322805.6966780,14.10074717093690,13.68595085753090,14.100761413574200,13.78704535446820,13.774445324294900,21.799249452461400,21.702890980597000,1.3275772423532200,1.2950972914058400,801254.7749931190,5615864.34657878,-9.812502230730390,-9.96685625270331
597,3840,12.939351394518500,0.062455581959955500,504291022.7901160,13.793587958372800,13.383373010639800,13.793563842773400,15.63702789266250,15.634537911952800,22.793432376681600,22.658680894065400,1.2853622994958900,1.301373261850010,508821.09103946700,6063393.518878120,-9.996116132206030,-9.919965481877870
597,3744,12.616300495875500,0.08740401184083300,488209857.7946850,13.495729857408100,13.090417439238900,13.495635986328100,14.219842205431300,14.235555313517400,22.990034408775300,22.859447969735400,1.3146055626431300,1.3128535746550100,706855.295548699,6934110.397999560,-9.839276028369210,-9.847615792540830
597,3648,12.293249597232800,0.11327055521830600,473596732.27703600,13.19688703354860,12.796817902231500,13.196830749511700,16.690192080133400,16.691551578039000,24.482749094306100,24.351925957584800,1.3175291419070500,1.2978273832198100,735759.9486711140,5927589.043858030,-9.808672554000860,-9.902530610537170
597,3552,11.970198698570200,0.1401175563431610,458519367.4200790,12.919475038301300,12.525212532594300,12.919540405273400,15.793319582686100,15.792330169458400,23.649715957815400,23.550587514718500,1.3217032146368500,1.271028668080590,776929.2632009600,4454172.603984130,-9.77097620503009,-10.012590642174600
597,3456,11.647147799925000,0.16801380302848600,444848672.93828700,12.644799266584800,12.256835515207800,12.644996643066400,11.599088900332300,11.587555190381900,24.57059565874740,24.409756472405300,1.300271163605860,1.261995376711910,618954.3725146000,4064590.5813411400,-9.856553664033940,-10.039195492872800
597,3360,11.324096901271600,0.1970353901905140,430807574.4767000,12.368652743095600,11.98489183342330,12.368621826171900,13.620106681060200,13.62119400103860,23.074901977329600,23.020785581088600,1.2811875542091700,1.236981720272160,506080.9875965440,3112467.2607839800,-9.930063308396160,-10.141178538577200
597,3264,11.001046002633700,0.22726672653829100,419528511.6034960,12.096695874849100,11.720240986222500,12.096633911132800,11.766612794775900,11.757844496070600,23.808634503458200,23.744598415317300,1.2167566072691500,1.1925004674487800,250796.19991492300,1920435.6100950900,-10.223440529540200,-10.339361730910500
597,3168,10.677995103966400,0.2588017131824050,408863622.11970600,11.816969486709700,11.447319802229800,11.817092895507800,18.42014953651480,18.445943343667800,24.684400940257300,24.58819147679990,1.2296919885535500,1.2046426660627300,291020.6333956070,2208672.1559554400,-10.147654690124400,-10.267447215534900
597,3072,10.354944205308500,0.29174512968721100,398181054.753185,11.531759775717500,11.168030259937400,11.531753540039100,14.033713142479600,14.036591939533000,24.642066557348900,24.572039420654400,1.23959867408535,1.224521507004300,326749.6361262520,2767337.3111412500,-10.085865480062700,-10.158018494094100
597,2976,10.03189330667060,0.32621427192291600,389421069.05216000,10.083563751634400,9.331461903223630,10.0836181640625,25.28055964681760,25.287124648961100,26.576516981583200,26.43908973664000,1.2559078811409800,1.2519084844390700,393345.683121083,3763776.207864860,-9.995645056432910,-10.014795652078000
597,2880,9.708842408026030,0.3623408972395140,381510024.59192800,9.860454986659340,9.113958976333330,9.860458374023440,18.294747076758200,18.28718375856880,27.064775237451400,26.906990918305700,1.2110943744931300,1.224958399033460,241214.71013164100,2810771.906862100,-10.199102164902800,-10.13268034980690
597,2784,9.385791509389770,0.4002735470974500,373323356.4176880,10.650006197333000,10.300528136372200,10.6500244140625,20.91464594361690,20.93679443017730,28.61547686851180,28.432146727684300,1.2239159159872800,1.2398412750192800,279394.6955505950,3330881.112562930,-10.12586700520500,-10.049526029844500
597,2688,9.062740610755540,0.4401803363835620,365735267.14575700,10.366996420860500,10.021075794669400,10.366973876953100,20.052232404104000,20.035136285021100,27.47740924703030,27.365744222741800,1.2333587432657000,1.2483693206179000,311731.3589810660,3679383.7380546400,-10.069386347699400,-9.99739175598577
597,2592,8.739689712119070,0.48225232372430700,357420550.84557100,10.08077360012290,9.735746317951900,10.080718994140600,12.884884339270300,12.902868085743700,27.035539899403200,26.915551493553600,1.270174626196270,1.2355030525864500,471033.4120551510,3211127.1001587100,-9.880127805549040,-10.046522024015100
597,2496,8.416638813481320,0.5267076106020060,350211965.07659500,9.809037897549630,9.46409672174583,9.809112548828130,17.57567776458640,17.59797365698550,26.83215537542520,26.726680735650100,1.278296730861000,1.257782241287630,518143.85355679400,4129956.2502722100,-9.82988062904224,-9.928385528693530
597,2400,8.093587914843820,0.5737963620111380,342211930.1426380,9.552903580501100,9.213068026172020,9.55291748046875,10.869010878347200,10.851566201147800,24.86243993966630,24.766602672422000,1.2448345349301800,1.2059375252037200,360109.99998708100,2341795.864474190,-9.977859964206440,-10.164746111062800
597,2304,7.77053701619915,0.6238070024454950,334790636.4205780,9.286891378875560,8.952230189982320,9.286880493164060,11.526353977514000,11.496574452329200,25.55804450639520,25.406006132607100,1.2224161986433500,1.1934076705128600,282618.13602257700,2049953.887641540,-10.073573275217900,-10.213029210943900
