galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_star,sigma_youngstar,log_sigma_pred_10,log_sigma_pred_100,sigma_star_m,sigma_youngstar_m,SFR_10,SFR_100,sSFR_10,sSFR_100
431,4096,13.800820457603800,-2.15509905132694E-12,1486476358.302920,4.186630302675930,4.130957494786070,2.44140625,45.10189445666230,32.018731032718300,1.4642250074919700,1.452188950929270,78.16533157863320,83.15583502240030,2702322.525213680,23771594.314512500,-9.740420825038150,-9.796099696359740
431,3606,12.151914829021100,0.12489157769989800,1223315630.6432500,3.731433451072930,3.719493765678000,2.44140625,47.055989650437800,33.41316590117370,1.4472481766028900,1.4261235747293000,75.0205344920019,83.4614273724069,2360589.953728980,18828409.42977900,-9.714517970362310,-9.812724891261130
431,3360,11.324096901214800,0.19703539019571500,1106753590.9093100,3.2975133564903400,3.2056325326168100,2.44140625,47.847447723010000,37.616568830735600,1.4486587239587500,1.4357602733813500,74.27765671750720,78.49653841748070,2455747.1174636300,21382891.516470300,-9.65386729679246,-9.713984507121040
431,3195,10.768853169142900,0.24979488250814200,1029128789.820920,3.8246602318178600,3.7996495177694900,2.44140625,48.03474011287070,34.2532619668826,1.4322085959586500,1.4285152574094400,72.53104646362170,87.22775645863910,2095297.3248607600,20137229.937768800,-9.691224069222780,-9.708469998631470
431,3168,10.677995103898300,0.25880171318919200,1014064429.211400,3.3296099590657200,3.289149288272750,2.44140625,48.19161304753010,35.48895947390040,1.4124668871548200,1.3968172800069700,71.89090305163250,83.29924625454850,1700644.5646777900,14371783.203382800,-9.77545199364829,-9.84855489174063
431,3072,10.354944205257900,0.29174512969248200,980690310.9244310,3.8459866509128300,3.7957420687837100,2.44140625,47.79686982849950,26.910462425797700,1.4882514051461800,1.4411333715407700,71.34403860347770,88.54077201601710,3876734.14943324,23344171.20161690,-9.4030658646662,-9.623353424963410
431,2784,9.38579150930508,0.40027354710764500,870927894.8781660,2.4941534962671800,2.4086062945838,1.8310546875,48.894218634185600,38.95144286208830,1.3599612477422400,1.387821029711390,68.54183981446470,74.90996700816350,1001723.8613867400,13533047.087687600,-9.939234181824040,-9.80858660782646
431,2688,9.062740610652960,0.440180336396566,835570122.504463,2.49488734820943,2.37551164737018,1.8310546875,48.46660191036890,35.913237566711700,1.3631449066817800,1.3559232901591900,66.2983760398698,76.30392291803860,1047125.154641660,9684941.303287120,-9.901984309922500,-9.935885909539590
431,2592,8.739689712013490,0.4822523237384340,803598832.4806140,2.1108697448536300,2.029480241682970,1.8310546875,49.435146460187500,39.3934271497575,1.3679737895651900,1.3437438306609700,65.67469767573350,70.83434401618580,1113784.7963984400,8569205.671885600,-9.858238011802770,-9.972098730527710
431,2400,8.093587914741030,0.5737963620265690,740643625.1757560,1.7296948870473900,1.6441708272127800,1.8310546875,51.535982225782000,42.10911459169040,1.3533019627579000,1.3597259438512800,65.85301987881320,71.93039885365730,969374.645497856,10393037.67628280,-9.883117632818900,-9.852866787484120
431,2208,7.447486117472480,0.6770739248549440,684633689.79402,1.3757702405636400,1.2952602984677900,1.220703125,49.48988715437620,42.47096843324390,1.3886574063802800,1.3461153785345500,66.50161946342280,62.31169189256540,1451509.9122471600,9142831.732174110,-9.673638260365150,-9.874377539369720
431,2087,7.04030738063583,0.7494616046379500,640821266.6512020,1.3264826990302500,1.2386264277799300,1.220703125,48.80607909438440,41.580342152710000,1.410821109634840,1.4008464800938000,63.77307042274750,65.20187185456250,1879961.0686093400,16865606.008934000,-9.532588060334300,-9.579734965333860
431,1824,6.155282522905530,0.9316226108145300,529666694.4441730,1.0674086591995200,0.9046984800649930,1.220703125,47.0037196551099,43.460628314070000,1.3518203581846000,1.3752371823288900,64.00920096368520,50.48206929817140,1039696.6288899100,13431935.624258500,-9.707096029444710,-9.595864063588050
431,1739,5.869247873073880,0.9994830609015170,506383776.4935470,1.2660776200824000,1.0987734936400000,1.8310546875,45.70177435652220,36.07309997391510,1.3365516187361600,1.3623534992262200,59.38679794966590,53.74315783112110,890328.38104439,11810132.937595500,-9.754929565695410,-9.632224997159690
431,1728,5.832231624271860,1.00864462254664,504160479.7880320,1.1608451819642800,0.9781284775242970,1.8310546875,45.98414125618500,36.28924866504310,1.3942989489266700,1.3637912857024800,59.02151151462060,49.56619213585880,1677709.418868910,12012033.360712700,-9.477852056409300,-9.6229522694461
431,1536,5.186129827004320,1.1848732073638800,449897707.09285200,1.3431946659341300,1.088041977872590,2.44140625,44.68291004717360,39.35447834036960,1.3393623293880400,1.3402190118810500,61.24615097544510,50.71636621076000,948072.273776236,9570356.187171930,-9.676272333897550,-9.672185678242750
431,1474,4.977492788298710,1.2494155616288000,437474145.99878200,1.423855317923220,1.3134137996022000,2.44140625,43.67695196707230,38.85981452519970,1.3731560753469300,1.287515719540460,65.41727647398990,53.01019103664710,1385231.6726220400,5403697.927510770,-9.499429979113640,-9.90826132852555
431,1440,4.8630789283625,1.2866713145888800,435245623.6433500,1.6219915894613600,1.5071672834401300,2.44140625,42.7387608107347,45.29547766521230,1.2011455190606700,1.404527648878310,71.88937633011170,57.37008173030030,209364.0007888490,19585764.91751390,-10.317832404265800,-9.346793875532780
431,1344,4.540028029726250,1.3998773857496500,395886391.261335,4.25901299106148,3.0678916718631300,9.765625,36.341536311977500,31.378136282942000,1.2644136641061700,1.3276190967257500,71.10432841906730,57.28887150988460,430156.25640369500,8632702.778285730,-9.963944329103300,-9.661423784455690
