galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
468,004096,13.800820457528431,3.066110004810066e-12,2051046418.862888,2998.0878769348,1837.6020464255394,1.1444091796875,29.43166442323247,17.66447709821723,24.3759528053143,17.054519430510986,32.158594391309684,17.66447709821723,42.277376524462426,28.2510496053084,-0.2948004820220815,3255975.9049334633,31139030.5486137,-9.799294307006242,-9.818670401790257
468,004032,13.585453191953793,0.015091542063365026,2012304372.7671728,2931.2954253754933,1796.6830674551113,1.18255615234375,28.37341599793468,19.076884764600116,22.456553575053448,18.05864378527162,34.57780089904271,19.076884764600116,46.22423500992847,32.076576509682255,-0.2483244289063413,2224824.6002597166,30458008.890275735,-9.956397892974712,-9.819992161820387
468,003936,13.262402293571098,0.038368621161737164,1935047834.140387,2832.6217642793367,1736.5299587946538,1.18255615234375,28.750052121755473,18.694943081990466,23.692995923346224,18.983193804461752,40.63159086418004,18.694943081990466,59.77709677579586,40.720029232132134,-0.24768938659755307,5091367.421259792,44407988.82769096,-9.57985726593048,-9.639230600130315
468,003840,12.939351395187158,0.06245558190922332,1839316285.6545038,2735.6362767222954,1677.448282546062,1.220703125,27.95687522718172,17.76233228100598,23.099285669797702,16.76697156128248,37.89584906261064,17.76233228100598,56.2833283319079,37.639376429347024,-0.21829179173494526,3335696.408677783,43480951.88370841,-9.741469898814808,-9.626357373109219
468,003744,12.61630049681785,0.08740401176674858,1750896011.025249,2640.056794606435,1618.906199477025,1.25885009765625,27.33113287541726,19.589308464218515,24.21836490751325,20.509638752823285,32.43374456783071,19.589308464218515,45.03438031961508,29.72165676707112,-0.20970565262565186,2572679.2819307763,44395886.62381586,-9.832874704185237,-9.595917619648187
468,003648,12.293249598446812,0.11327055511930355,1670419355.0976243,2545.1216183357346,1561.0188496276833,1.2969970703125,27.117258506672865,18.79065723637686,24.435145305894842,16.681729519179555,29.503808075940416,18.79065723637686,44.55804412461254,30.862117965032073,-0.21010895943831426,3313583.803983195,31619231.0741481,-9.702527554682632,-9.722874209085697
468,003606,12.151914830406648,0.1248915775850367,1640707273.9922748,2504.1967752488335,1535.9878958696647,1.2969970703125,27.662861817114592,16.608336426481245,21.437734786312767,17.124603032611397,31.385712752057987,16.608336426481245,46.44301163492339,30.857456644155956,-0.20279654707613098,5064795.461848444,37776558.296002336,-9.51046919214347,-9.637808715343986
468,003552,11.970198700071155,0.14011755621604205,1592961636.4131258,2451.9460343530973,1503.9831878530663,1.2969970703125,26.154973410339654,14.510396662421584,17.775231023566224,15.616735406734401,30.29363560031904,14.510396662421584,40.45284049362861,27.991427010213958,-0.20551610563656225,3544961.143006215,29689142.519697055,-9.652593837572816,-9.729607662227458
468,003456,11.647147801692626,0.16801380287283818,1530070633.8468223,2360.1983881765846,1447.9515856110456,1.4495849609375,25.62113953917771,15.296573351313711,19.59766903672134,15.429866239550696,44.048346984281245,15.296573351313711,69.31264578039048,50.66923979093902,-0.17267246454388752,4019065.551275055,46761408.194879554,-9.58058639032912,-9.514823898722522
468,003360,11.324096903303657,0.19703539000425044,1419933084.4740126,2268.899437708712,1392.1801358654707,1.373291015625,26.948983446131386,20.479788571721755,27.071059882318913,19.957247183655927,35.50221901552863,20.479788571721755,49.79592661056423,34.22940228496389,-0.17535873982430394,9364964.056831636,50810978.72442276,-9.180761763505112,-9.446310317977298
468,003264,11.001046004940882,0.2272667263178406,1326680959.3493016,2179.4816583225575,1337.8656508764802,1.52587890625,25.40668317565517,18.67916862892718,21.819735858125917,15.780763315929448,34.158428928609155,18.67916862892718,48.09700757890141,31.956469553092933,-0.17784256968661205,3497198.468129901,45897371.34471874,-9.579046216664471,-9.460978683010866
468,003195,10.768853171744885,0.2497948822517782,1253441939.7192128,2116.668986498343,1299.3234348782598,1.56402587890625,24.98274962821563,17.240362487387294,21.64084618950484,17.94008508736882,34.36342560905341,17.240362487387294,50.46989592178095,33.986552729082234,-0.14827339104917592,3495262.4462337564,46725868.046777524,-9.554624431084681,-9.428546843741843
468,003168,10.677995106574823,0.2588017129222396,1222792006.6967757,2092.2349144903487,1284.2520946211164,1.48773193359375,26.5591759723147,18.472136538670014,24.529156816630465,18.349874890008035,31.95265396026538,18.472136538670014,43.82686369836176,29.19268049375794,-0.18884922631253756,7640033.87210175,50672208.12847138,-9.204257307086399,-9.382582761280855
468,003072,10.354944208208058,0.2917451293848587,1108185270.1369252,2006.0550199819745,1232.1078302225824,1.64031982421875,24.61188469979868,15.277981079166103,20.559471784859856,15.690734548569814,29.00995019591938,15.277981079166103,38.538647384886,25.613983789342143,-0.15499563113338405,4197478.5701185055,50571487.16610644,-9.421623885712112,-9.34070664806578
468,002976,10.031893309836548,0.3262142715772225,999184983.7856796,1922.148647977042,1180.8755190264587,1.64031982421875,24.78349514252018,16.227252795083494,19.907011380087134,17.264451904591244,28.20560090899842,16.227252795083494,36.02990234841465,24.711170541972585,-0.1359030094811362,4282766.021465212,48182223.21774173,-9.36792155021775,-9.316759063353734
468,002880,9.708842411466359,0.3623408968454461,902832871.6696444,1839.561824168215,1130.2458616596773,1.64031982421875,23.64717561821556,15.436662173502368,18.57546538731173,15.00556207157813,24.73548704185601,15.436662173502368,31.958573146057077,22.469995704467106,-0.1425736793401135,2356340.857642291,32466528.18257302,-9.583369249386477,-9.444171513422114
