      -194.39999       65761.835
      -183.19999       188293.69
      -171.99999       350664.38
      -160.79999       605086.33
      -149.59999       928753.40
      -138.39999       1653109.8
      -127.20000       3059114.7
      -116.00000       5528921.6
      -104.80000       11670375.
      -93.599996       24757600.
      -82.399996       53808411.
      -71.199996   1.0141193e+08
      -59.999996   1.6155891e+08
      -48.799996   2.0854001e+08
      -37.599997   2.4266491e+08
      -26.399997   2.6456120e+08
      -15.199997   2.5116272e+08
      -3.9999971   2.2447343e+08
       7.2000027   1.7257365e+08
       18.400002       81947372.
       29.600002       28690422.
       40.800002       10987934.
       52.000002       5112505.6
       63.200002       2980071.3
       74.400002       2090647.6
       85.600001       1457250.2
       96.800001       938985.28
       108.00000       690012.32
       119.20000       416215.38
       130.40000       338101.94
       141.60000       214425.67
       152.80000       151486.86
       164.00000       53382.841
       175.20000       39575.007
       186.40000       34128.094
       197.60000       27397.764
