      -194.39999       6473338.4
      -183.19999       40541842.
      -171.99999   1.3343427e+08
      -160.79999   3.3803995e+08
      -149.59999   4.5372735e+08
      -138.39999   4.9374138e+08
      -127.20000   5.8863050e+08
      -116.00000   6.6311872e+08
      -104.80000   6.6377664e+08
      -93.599996   6.6209977e+08
      -82.399996   6.4672488e+08
      -71.199996   6.0379478e+08
      -59.999996   4.9901186e+08
      -48.799996   3.6461726e+08
      -37.599997   2.1510759e+08
      -26.399997   1.1820895e+08
      -15.199997       56062661.
      -3.9999971       22586112.
       7.2000027       6891999.4
       18.400002       2254201.1
       29.600002       995475.57
       40.800002       553284.52
       52.000002       311759.40
       63.200002       158474.38
       74.400002       80114.642
       85.600001       61414.843
       96.800001       26303.438
       108.00000       10684.085
       119.20000       2599.1846
       130.40000       2629.6997
       141.60000       0.0000000
       152.80000       0.0000000
       164.00000       0.0000000
       175.20000       0.0000000
       186.40000       0.0000000
       197.60000       0.0000000
