galaxyID,tstep,t,tlookback,z,M_star,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_coldgas_los,sigma_hotgas_los,SFR_10,SFR_100,sSFR_10,sSFR_100
m11e_r7100,600,13.736216022,0.0,0.0,1718129500.0,3.814697265625,30.208354949951172,20.884644396877647,18.177478790283203,10.833348455878573,15.904894570019312,17.434137152844528,2853364.5,43386050.0,-9.779698650075817,-9.597705811363435
m11e_r7100,599,13.733926683,0.002289339,0.000159264,1717667800.0,3.96728515625,29.991689682006836,19.752046180779296,17.668424606323242,11.46518869079365,16.34523167494232,17.22417824092114,2825392.5,42955276.0,-9.783860396412798,-9.601922670559231
m11e_r7100,598,13.731635434,0.004580588,0.000318646,1717024400.0,3.96728515625,29.77878761291504,19.6375888650563,18.493680953979492,12.137017004256155,16.515689075695967,17.421221516875633,2488014.0,42401450.0,-9.83892364296526,-9.607395774850653
m11e_r7100,597,13.729346562,0.00686946,0.00047791,1716598800.0,4.119873046875,29.571069717407227,20.183384774782862,20.208242416381836,12.738206929060716,16.7497137121032,17.31489273923023,2722788.0,42123652.0,-9.79965497265096,-9.610142784310954
m11e_r7100,596,13.727056638,0.009159384,0.000637293,1716039600.0,4.119873046875,29.36896514892578,19.27979852654021,22.86017417907715,13.87263905153051,16.31729358176674,17.587895601435456,2824594.5,41903730.0,-9.783571184301652,-9.61227463137483
m11e_r7100,595,13.724764804,0.011451218,0.000796795,1715390800.0,4.2724609375,29.16669273376465,20.044761401231952,23.812347412109375,14.012438227877405,16.89805866529972,17.613008636483684,2532195.0,41486080.0,-9.830865941780706,-9.616460688199833
m11e_r7100,594,13.72247449,0.013741532,0.000956297,1715170200.0,4.2724609375,28.968351364135742,19.98921533763653,22.582014083862305,13.299310025270412,17.52197132061072,17.504029287450564,2630747.5,41429260.0,-9.81422805004817,-9.617000040310126
m11e_r7100,593,13.720183981,0.016032042,0.001115799,1714649900.0,4.425048828125,28.775068283081055,19.878632961281824,21.344148635864258,12.01300846744163,16.775104193457327,17.96068776215527,2296310.5,41000424.0,-9.873144835681147,-9.62138709939661
m11e_r7100,592,13.717892419,0.018323603,0.001275539,1713986300.0,4.425048828125,28.597753524780273,20.11738648231058,22.601680755615234,12.288804703718974,18.210834421766428,17.448672631396505,1735156.2,40401296.0,-9.994668758370944,-9.627612050561417
m11e_r7100,591,13.71560152,0.020614503,0.001435161,1713498400.0,4.57763671875,28.415283203125,19.58836678895911,23.897438049316406,12.55488157500753,18.846497567497323,17.67435032599141,1433147.0,40057450.0,-10.077592956220588,-9.63120041753969
m11e_r7100,590,13.71330871,0.022907312,0.001594901,1713099500.0,4.57763671875,28.23712730407715,19.958671298535272,37.64312744140625,18.88081561684848,19.352480222680825,17.76981791515365,1288576.8,39788200.0,-10.123672302363303,-9.634028301091572
m11e_r7100,589,13.690383616,0.045832406,0.003194809,1710670200.0,5.4931640625,26.624744415283203,19.324803435163442,36.31950759887695,22.824807853239058,31.045517472744887,16.8549276070297,2037552.5,38372864.0,-9.924057484358382,-9.649142077592158
m11e_r7100,588,13.667437317,0.068778706,0.004799962,1696256000.0,6.256103515625,25.578067779541016,18.552402044665275,15.75709056854248,11.704020037524835,14.35417939688638,14.336734238519082,16628264.0,25677060.0,-9.008644485856843,-9.819946100937287
m11e_r7100,587,13.644472396,0.091743626,0.006410241,1677391100.0,7.01904296875,25.297483444213867,18.052256159267415,19.416858673095703,10.8254265549323,12.496623765764248,14.315993457349416,688524.9,8578540.0,-10.386714700367495,-10.291220954783524
m11e_r7100,586,13.621487144,0.114728878,0.008025765,1676108500.0,7.32421875,25.462671279907227,18.014044055213887,18.447856903076172,12.78114245866407,13.771576787532869,14.465211561883951,732662.75,9300914.0,-10.359398028187423,-10.255776511179537
m11e_r7100,585,13.598484154,0.137731869,0.009646297,1675452900.0,7.62939453125,25.93352699279785,17.721822802710058,15.628965377807617,10.170562650531846,14.398274000580598,14.533224578875622,1162679.8,11153672.0,-10.15867212222894,-10.17671436190933
m11e_r7100,584,13.575459989,0.160756033,0.011272073,1673629000.0,7.62939453125,26.724376678466797,18.780214050845053,15.491096496582031,11.586697795875963,13.382382471128206,14.850982303965699,1047327.2,12007930.0,-10.203576829568748,-10.144191059540661
m11e_r7100,583,13.552416383,0.183799639,0.012903214,1672017900.0,7.9345703125,27.817646026611328,19.340963127598933,20.524402618408203,12.470830355620102,13.002320358080024,15.466356275542498,1098902.0,12765299.0,-10.182281963917243,-10.117209936032806
m11e_r7100,582,13.529354209,0.206861813,0.014539599,1670537500.0,7.781982421875,28.93318748474121,19.195456357764304,15.755361557006836,11.96877127723604,15.339445155631942,16.236723701638034,1565500.9,14507872.0,-10.028202907096443,-10.061252506554627
m11e_r7100,581,13.506271753,0.22994427,0.016181231,1668526600.0,7.62939453125,30.03390884399414,19.222589545420973,24.99151039123535,15.019614453898349,15.235155071097704,16.18673978116547,1892546.8,15429172.0,-9.945286516259081,-10.03399051211866
m11e_r7100,580,13.483171618,0.253044405,0.017828226,1664926000.0,7.62939453125,31.20886993408203,20.257089443478478,23.636356353759766,14.584641980697047,16.53817854526974,16.085142090404943,1021031.5,14856084.0,-10.212355782136145,-10.0494905765678
m11e_r7100,579,13.460050357,0.276165666,0.019480586,1662817900.0,7.32421875,32.54786682128906,20.544097383806434,32.048892974853516,16.812060681481718,17.301322763102426,16.312123530934745,1110663.6,16909014.0,-10.175262147545165,-9.992726412485956
m11e_r7100,578,13.436911444,0.299304578,0.021138191,1660002200.0,7.01904296875,34.18705749511719,20.75394198051587,25.996185302734375,15.22176139156706,17.040602676476617,16.312502782763055,2088133.8,18858756.0,-9.900350344502165,-9.94459561581027
m11e_r7100,577,13.413751427,0.322464595,0.02280128,1656635300.0,6.40869140625,35.81831359863281,22.561622637063955,26.04758644104004,16.53046085968809,17.35198001825367,16.823055243896,1784534.5,21853502.0,-9.967701953250183,-9.87970585963642
m11e_r7100,576,13.390571182,0.34564484,0.024469852,1653439500.0,5.79833984375,36.89385223388672,23.048454557377397,29.84358787536621,17.901855682470455,17.47900361535197,17.179402645059426,1358453.8,22659506.0,-10.085343448394088,-9.863137867808549
m11e_r7100,575,13.367374196,0.368841827,0.026143789,1650072300.0,5.340576171875,37.118675231933594,25.12079811458195,27.118654251098633,14.86177587591856,18.56313713447625,17.727579418812624,2134456.0,21924172.0,-9.888215772435641,-9.876579778505283
m11e_r7100,574,13.34415614,0.392059883,0.027823329,1646012400.0,4.8828125,37.060874938964844,25.961670783090433,29.285839080810547,19.35687388080263,21.727772233283886,18.135587302333796,3163422.0,20237428.0,-9.716275976209475,-9.910277790158997
m11e_r7100,573,13.320920505,0.415295518,0.029508114,1640150800.0,4.730224609375,37.23454284667969,26.21063145630298,27.64325523376465,19.19766577330055,22.45570544232238,18.71126945934273,3724840.5,16654487.0,-9.643776095161325,-9.993352516009274
m11e_r7100,572,13.297663825,0.438552197,0.03119874,1634255600.0,4.8828125,37.20048522949219,27.798709966011856,28.691192626953125,21.71065032127025,21.526956580805276,18.511477933054167,1963698.8,15920120.0,-9.920245122390643,-10.011373649095962
m11e_r7100,571,13.274388727,0.461827295,0.032894731,1631045500.0,5.4931640625,36.403289794921875,26.00622442224241,25.962141036987305,21.052484029408824,19.691750028913198,17.90641193243306,940680.1,16863054.0,-10.239024109242866,-9.985529846705974
m11e_r7100,570,13.251093483,0.48512254,0.034596443,1629126900.0,6.256103515625,35.09667205810547,23.91073716747009,31.76026725769043,25.50207577818796,20.386626337643463,18.599235666684883,1641278.8,17358118.0,-9.996772571343325,-9.97245228160649
