galaxyID,tstep,t,tlookback,z,M_star,R_halfmass,sigma_star,sigma_youngstar,SFR_10,SFR_100,sSFR_10,sSFR_100
m11i_r7100,593,13.720183981,0.016032042,0.001115799,1036693060.0,3.819999999999991,55.434013,37.503216,860377.06,8020539.0,-10.08096136588861,-10.111446634619387
m11i_r7100,592,13.717892419,0.018323603,0.001275539,1036690400.0,3.8299999999999907,55.36727,36.055336,919339.4,8163495.0,-10.052173229085897,-10.103772959200803
m11i_r7100,591,13.71560152,0.020614503,0.001435161,1036336500.0,3.8399999999999905,55.309982,32.061546,764769.5,7899829.0,-10.13197024001408,-10.11788310876277
m11i_r7100,590,13.71330871,0.022907312,0.001594901,1036197800.0,3.8499999999999903,55.24344,30.68762,673279.3,7921958.5,-10.187247405605726,-10.116610112962501
m11i_r7100,589,13.690383616,0.045832406,0.003194809,1034369600.0,3.9399999999999884,54.63731,31.578701,815383.4,8341511.0,-10.103313895899333,-10.09343102135686
m11i_r7100,588,13.667437317,0.068778706,0.004799962,1033455600.0,3.9799999999999875,54.139297,28.409773,1099695.8,10736662.0,-9.973019283005076,-9.983422548307438
m11i_r7100,587,13.644472396,0.091743626,0.006410241,1031972160.0,3.9899999999999873,53.72222,36.23668,567922.8,11572472.0,-10.259378667372493,-9.950241842616563
m11i_r7100,586,13.621487144,0.114728878,0.008025765,1030878660.0,3.9899999999999873,53.24552,39.29561,872729.94,12320900.0,-10.072327673846843,-9.92256511506703
m11i_r7100,585,13.598484154,0.137731869,0.009646297,1029394940.0,3.9899999999999873,52.697693,33.23705,1815250.1,11848273.0,-9.753645555493373,-9.938926978476493
m11i_r7100,584,13.575459989,0.160756033,0.011272073,1025689000.0,3.999999999999987,52.256344,34.011944,1412582.5,10649546.0,-9.861001886489662,-9.983684614319015
m11i_r7100,583,13.552416383,0.183799639,0.012903214,1023336600.0,4.059999999999986,51.96842,30.191143,1525860.8,8746578.0,-9.82650359518951,-10.0681803234834
m11i_r7100,582,13.529354209,0.206861813,0.014539599,1021211300.0,4.139999999999985,51.72382,34.14342,1275859.2,7442620.0,-9.903312857050276,-10.13738977800214
m11i_r7100,581,13.506271753,0.22994427,0.016181231,1020063800.0,4.249999999999982,51.334328,33.43368,1034058.06,6369144.0,-9.994082413876024,-10.204546271050281
m11i_r7100,580,13.483171618,0.253044405,0.017828226,1017365500.0,4.35999999999998,50.86497,28.843033,836958.44,3531750.0,-10.084773115932856,-10.459487054007372
m11i_r7100,579,13.460050357,0.276165666,0.019480586,1016720800.0,4.439999999999978,50.309322,37.343586,828083.7,3701864.5,-10.089127465226113,-10.438781176593704
m11i_r7100,578,13.436911444,0.299304578,0.021138191,1015578050.0,4.529999999999976,49.78492,27.748419,241909.84,2547967.2,-10.623059763956897,-10.60051946336227
m11i_r7100,577,13.413751427,0.322464595,0.02280128,1015589300.0,4.589999999999975,49.388294,36.141285,274027.22,2753525.0,-10.568924418895419,-10.566829097824538
m11i_r7100,576,13.390571182,0.34564484,0.024469852,1015661900.0,4.579999999999975,49.29972,35.21027,70246.33,4015930.5,-11.160125528178783,-10.402962967893389
m11i_r7100,575,13.367374196,0.368841827,0.026143789,1015187100.0,4.489999999999977,49.616524,22.995863,380249.66,4737155.5,-10.426477248437825,-10.331028437614412
m11i_r7100,574,13.34415614,0.392059883,0.027823329,1015119800.0,4.3299999999999805,50.307262,32.829723,271844.3,7268603.0,-10.572197051065864,-10.145066353228856
m11i_r7100,573,13.320920505,0.415295518,0.029508114,1015105200.0,4.119999999999985,51.271976,46.206234,297990.7,11818937.0,-10.532308367191035,-9.933932641673284
m11i_r7100,572,13.297663825,0.438552197,0.03119874,1014215040.0,3.909999999999989,52.401104,31.116213,568945.06,17492016.0,-10.25105971368168,-9.763290180576856
m11i_r7100,571,13.274388727,0.461827295,0.032894731,1013376450.0,3.779999999999992,53.438995,47.43439,885456.4,18978116.0,-10.058603637515155,-9.727517709736281
m11i_r7100,570,13.251093483,0.48512254,0.034596443,1011650100.0,3.769999999999974,54.03982,56.011612,2111054.2,19856796.0,-9.680530939967491,-9.707121159864414
m11i_r7100,569,13.227780724,0.508435299,0.03630352,1009517900.0,3.9699999999999878,53.78681,34.814808,5677299.0,18375280.0,-9.249972251430634,-9.739880053236938
m11i_r7100,568,13.204446975,0.531769047,0.038016558,999396800.0,4.219999999999983,52.948048,32.638096,1035732.4,8289938.0,-9.984490402859395,-10.081186672030283
m11i_r7100,567,13.181093998,0.555122024,0.039735079,997690300.0,4.35999999999998,52.0161,36.529205,1656419.0,7141231.0,-9.779825548125283,-10.14522266998731
m11i_r7100,566,13.157722684,0.578493338,0.041459441,994798340.0,4.439999999999978,51.42803,30.323332,1471694.0,5695745.0,-9.82991753086317,-10.242184512567786
m11i_r7100,565,13.134331301,0.601884722,0.043189406,993245950.0,4.459999999999978,51.50476,26.26745,355269.62,5635817.0,-10.446498726178115,-10.24609992101498
m11i_r7100,564,13.110922492,0.62529353,0.044925094,993227400.0,4.409999999999979,52.09162,33.103813,343925.66,7541934.5,-10.460584113723602,-10.119565932023415
m11i_r7100,563,13.087492771,0.648723251,0.046666741,993158200.0,4.269999999999982,53.072155,38.561207,862393.5,10740420.0,-10.061312961690922,-9.965997171583258
m11i_r7100,562,13.064045664,0.672170358,0.048413992,991995700.0,4.089999999999986,54.23191,29.588015,1483502.5,11793455.0,-9.825221512350197,-9.924868740619873
m11i_r7100,561,13.040577678,0.695638344,0.050167203,990202700.0,3.909999999999989,55.384865,41.258263,785795.06,13939529.0,-10.100414805312116,-9.851476001211834
m11i_r7100,560,13.017090587,0.719125435,0.051926374,988720640.0,3.719999999999993,56.37618,27.022816,1615011.8,16864428.0,-9.78689791396538,-9.768101984776386
m11i_r7100,559,12.99358529,0.742630732,0.053691268,985656640.0,3.629999999999995,56.98888,26.931858,1780268.1,18582952.0,-9.74324023589701,-9.724610946827054
m11i_r7100,558,12.970060047,0.766155975,0.055462241,983006850.0,3.6599999999999944,56.885162,49.421318,982442.4,19333974.0,-10.000249456982104,-9.706235413077984
m11i_r7100,557,12.946517521,0.789698501,0.057239056,980193900.0,3.8299999999999907,56.058865,33.46407,2617087.2,19095530.0,-9.573493802672498,-9.710380287518563
m11i_r7100,556,12.922954207,0.813261815,0.05902195,976654700.0,4.099999999999985,54.64459,37.678963,4014354.0,17443432.0,-9.386125385805503,-9.748109116715037
m11i_r7100,555,12.899372772,0.836843251,0.060810804,970287170.0,4.3299999999999805,53.35879,35.141586,2069111.0,12795628.0,-9.671116498344183,-9.879838682295917
m11i_r7100,554,12.87577147,0.860444553,0.062605739,966808300.0,4.429999999999978,52.608234,41.351498,1571191.6,11084832.0,-9.7891112236239,-9.940611263731343
m11i_r7100,553,12.852151206,0.884064817,0.064406872,963936960.0,4.419999999999979,52.447983,36.339798,1500922.2,9910560.0,-9.807690436910676,-9.987950437482779
m11i_r7100,552,12.828513772,0.90770225,0.066213965,961456060.0,4.3299999999999805,52.684612,43.20769,771452.5,8894309.0,-10.095620252147192,-10.033817229581546
m11i_r7100,551,12.804855652,0.93136037,0.068027258,959884400.0,4.1899999999999835,53.124245,39.16933,918732.4,8548446.0,-10.019029920187087,-10.050331768208862
m11i_r7100,550,12.781180411,0.955035611,0.06984663,957921860.0,4.059999999999986,53.557312,41.193405,615563.8,7967051.0,-10.192057001466836,-10.08003248500807
m11i_r7100,549,12.757484527,0.978731495,0.07167232,956674240.0,3.959999999999988,53.75792,55.13523,1122912.5,9090905.0,-9.930418163713414,-10.022156960630054
m11i_r7100,548,12.733770684,1.002445338,0.07350421,954925600.0,3.8999999999999893,53.466286,50.667088,867229.44,8861576.0,-10.041835510402416,-10.032458555174882
m11i_r7100,547,12.710037131,1.026178891,0.075342536,953656640.0,3.8799999999999897,53.01295,44.36559,931469.1,8551342.0,-10.010223572872064,-10.047357761138928
m11i_r7100,546,12.68628478,1.049931242,0.077187061,952173500.0,3.959999999999988,52.415936,40.543945,693571.6,7458965.0,-10.137624775026664,-10.106037522955004
m11i_r7100,545,12.662515436,1.073700586,0.079037786,950303500.0,4.129999999999985,51.70878,35.352535,1385177.0,5713360.0,-9.836357051556531,-10.220970733396657
m11i_r7100,544,12.638725566,1.097490456,0.080895066,948163400.0,4.35999999999998,50.890923,39.47607,451476.9,4542340.0,-10.322247643090716,-10.319603544864488
m11i_r7100,543,12.614917867,1.121298155,0.082758665,947314500.0,4.579999999999975,50.02041,26.748753,658520.44,4022635.0,-10.15792492497287,-10.371983555040611
m11i_r7100,542,12.591090582,1.14512544,0.084628701,946775940.0,4.749999999999972,49.3151,29.827639,398813.8,3638818.0,-10.375477019792003,-10.415286876676305
m11i_r7100,541,12.567246415,1.168969607,0.086505175,946710400.0,4.879999999999969,48.90793,34.343777,433781.06,3810223.5,-10.338946559867887,-10.395266696787404
m11i_r7100,540,12.543381824,1.192834198,0.088388205,945783360.0,4.909999999999968,49.014736,43.100147,433145.4,3151015.2,-10.339157955998282,-10.477341163782707
m11i_r7100,539,12.51950041,1.216715613,0.090277672,945418000.0,4.7999999999999705,49.790184,41.800407,233663.1,4097828.0,-10.60703373676552,-10.363070133706385
m11i_r7100,538,12.495598624,1.240617398,0.092173934,945529340.0,4.549999999999976,51.15833,49.831593,510766.6,5781641.0,-10.267452526625362,-10.213623890006236
m11i_r7100,537,12.471677388,1.264538634,0.094076753,945458700.0,4.259999999999982,52.814102,31.917788,305987.88,23711202.0,-10.489938339437758,-9.600688986640751
m11i_r7100,536,12.447740314,1.288475708,0.095986009,945381200.0,4.009999999999987,54.250584,55.8328,517182.5,29588172.0,-10.261963133099684,-9.504488819604772
m11i_r7100,535,12.423782953,1.312433069,0.097902179,944459500.0,3.909999999999989,54.963757,56.426785,1388876.2,30677576.0,-9.832519797110477,-9.488362307887742
m11i_r7100,534,12.399808923,1.3364071,0.099824786,942962700.0,3.9399999999999884,54.907047,84.25672,750593.2,29616984.0,-10.099089890149697,-9.502953677794219
m11i_r7100,533,12.375814664,1.360401359,0.101754427,928873540.0,4.149999999999984,54.075504,38.181026,8411254.0,16127435.0,-9.0430958419805,-9.760391289631919
m11i_r7100,532,12.3518029,1.384413122,0.103690624,918202560.0,4.3299999999999805,53.256233,40.09238,875701.8,6196447.5,-10.02058225067132,-10.170795724823046
m11i_r7100,531,12.327771867,1.408444155,0.105633855,916190300.0,4.439999999999978,52.740036,26.685505,808300.25,4597019.0,-10.054412963055126,-10.299509377434793
m11i_r7100,530,12.303722495,1.432493527,0.10758388,915545860.0,4.479999999999977,52.59988,45.162632,537147.94,5818807.0,-10.231586188742082,-10.196846148623909
m11i_r7100,529,12.27965662,1.456559403,0.109540582,915184500.0,4.459999999999978,52.83802,31.736988,853388.75,10362079.0,-10.03036174841702,-9.94606176278353
m11i_r7100,528,12.25557067,1.480645353,0.111504436,914332700.0,4.3799999999999795,53.456055,41.335457,417648.9,15201200.0,-10.340292890359947,-9.77922636576354
m11i_r7100,527,12.231467383,1.504748639,0.113475204,914068350.0,4.219999999999983,54.319168,52.232624,565506.8,18839234.0,-10.208540831409032,-9.685915432047098
m11i_r7100,526,12.20734499,1.528871032,0.115453005,912967040.0,3.9899999999999873,55.398514,38.06943,2041011.4,21921710.0,-9.650609673747164,-9.619580670671978
m11i_r7100,525,12.183206235,1.553009787,0.11743772,907987800.0,3.86999999999999,56.337368,38.990227,1719218.9,19488456.0,-9.722748831216474,-9.668302568871459
m11i_r7100,524,12.159047539,1.577168484,0.119429588,902487200.0,3.909999999999989,56.348816,31.385756,3255440.8,15666840.0,-9.442831240147386,-9.760459627462444
m11i_r7100,523,12.134870743,1.601345279,0.121428609,897920000.0,4.029999999999987,55.210903,40.046387,2179099.8,11660255.0,-9.614960534140462,-9.886529596829224
m11i_r7100,522,12.110677698,1.625538325,0.123434663,894050400.0,4.2399999999999824,53.57858,42.525555,2148096.2,7726360.0,-9.61930828041874,-10.063387077681991
m11i_r7100,521,12.086464816,1.649751206,0.125447989,890881860.0,4.489999999999977,52.104218,35.37379,1014020.1,5542596.5,-9.943773539622477,-10.206106850852366
m11i_r7100,520,12.062234854,1.673981169,0.127468586,889207940.0,4.679999999999973,51.02308,31.377604,996641.0,5081805.0,-9.950464580745704,-10.242985333831593
m11i_r7100,519,12.037986035,1.698229988,0.129496455,888341060.0,4.819999999999988,50.51621,34.0446,270749.0,5491346.0,-10.516012872884682,-10.208900925437922
m11i_r7100,518,12.013721122,1.722494901,0.131531477,888461600.0,4.849999999999987,50.58368,25.066822,338613.47,7348998.5,-10.418934417668602,-10.082410487624157
m11i_r7100,517,11.98943652,1.746779502,0.133574009,887698900.0,4.749999999999989,51.168198,32.555454,573155.75,11163916.0,-10.189993018250918,-9.900449111843702
m11i_r7100,516,11.965134086,1.771081937,0.135623932,886581000.0,4.539999999999976,52.19824,36.699593,1101694.2,14102696.0,-9.905657333181082,-9.798416271648067
m11i_r7100,515,11.940814769,1.795401253,0.137681127,885363140.0,4.269999999999982,53.464222,42.716015,588310.0,19141892.0,-10.177515204714805,-9.665136573655406
m11i_r7100,514,11.916476791,1.819739231,0.139745951,884330400.0,4.029999999999987,54.596157,40.152126,2174054.5,22662364.0,-9.609344112049472,-9.591309328140687
m11i_r7100,513,11.892122926,1.844093096,0.141818166,880164400.0,3.8399999999999905,55.32703,28.352882,3130809.5,20290996.0,-9.448907163617504,-9.637260441319189
m11i_r7100,512,11.86774957,1.868466452,0.14389801,875894000.0,3.8399999999999905,55.21434,34.304337,2653770.5,17568304.0,-9.518588197256049,-9.697721721487257
m11i_r7100,511,11.843360414,1.892855609,0.145985365,869756000.0,3.9899999999999873,54.19799,31.525814,3965374.0,12438154.0,-9.341113294683762,-9.84464151976006
m11i_r7100,510,11.818951849,1.917264174,0.148080468,863998500.0,4.279999999999982,52.642982,28.410715,1257124.1,7558514.0,-9.837134841715985,-10.058076580749795
m11i_r7100,509,11.794526658,1.941689364,0.150183082,861967100.0,4.6599999999999735,50.784485,33.943707,599123.25,5840838.0,-10.157974518327284,-10.169015530857843
m11i_r7100,508,11.770083058,1.966132964,0.152293563,860310000.0,5.029999999999983,48.98212,39.79501,284367.0,4435189.5,-10.480775782808964,-10.28774279868801
m11i_r7100,507,11.745622007,1.990594016,0.154411793,859652200.0,5.299999999999978,47.60708,23.618792,1512481.5,3604485.5,-9.754632719814632,-10.377479508276744
m11i_r7100,506,11.721145382,2.01507064,0.156537652,858327360.0,5.429999999999975,46.839863,24.444363,327501.06,2229995.0,-10.418440242998589,-10.585349067002127
m11i_r7100,505,11.696649566,2.039566456,0.158671618,858080500.0,5.3999999999999755,46.724007,24.157427,190857.56,3159009.5,-10.652818665734705,-10.433977106805528
m11i_r7100,504,11.672137354,2.064078668,0.160813332,857901500.0,5.2599999999999785,47.303146,22.004095,211516.48,5853173.0,-10.608093209757703,-10.166046068615023
m11i_r7100,503,11.647606958,2.088609064,0.162963033,858071600.0,4.999999999999984,48.552402,52.81184,108263.0,7421896.5,-10.899043478907227,-10.063008642536857
m11i_r7100,502,11.623061182,2.11315484,0.165120482,858553600.0,4.659999999999991,50.38845,40.51916,529689.0,11008024.0,-10.209746459522181,-9.892058045846742
m11i_r7100,501,11.598496397,2.137719625,0.167286277,857671500.0,4.299999999999981,52.55238,43.96836,1384921.2,17807908.0,-9.791895893790986,-9.682708069524967
m11i_r7100,500,11.573914491,2.162301531,0.169460058,854923300.0,3.959999999999988,54.512386,38.42902,1382756.4,24329430.0,-9.791181498289435,-9.545795233469345
m11i_r7100,499,11.549317354,2.186898668,0.171641707,853393660.0,3.7899999999999916,55.616096,57.93069,963818.06,22464580.0,-9.947154353159048,-9.579651110734158
m11i_r7100,498,11.524701354,2.211514669,0.17383182,851080260.0,3.919999999999989,55.33562,67.2541,2925298.5,19991776.0,-9.463800327076743,-9.629119138495772
m11i_r7100,497,11.500069304,2.236146719,0.176029921,844089400.0,4.279999999999982,53.28217,42.299606,7268420.5,13906835.0,-9.064948405982765,-9.78316014866507
