galaxyID,tstep,t,tlookback,z,M_star,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_coldgas_los,sigma_hotgas_los,SFR_10,SFR_100,sSFR_10,sSFR_100
/m11q_r880,600,13.798746883,0.0,0.0,659320200.0,3.814697265625,27.44231605529785,18.773274884633196,11.131460189819336,8.07044532422458,8.289919191608623,12.341354590299716,60484.715,174060.94,-11.037450738926088,-11.578395058103961
/m11q_r880,599,13.79652928,0.002217604,0.000159264,659318340.0,3.814697265625,27.454788208007812,18.750627879176875,11.44408130645752,7.58011696464388,8.06558382609418,12.369705198937364,57195.375,171282.62,-11.061734242097154,-11.58538184373832
/m11q_r880,598,13.794309806,0.004437077,0.000318646,659313200.0,3.814697265625,27.469257354736328,18.353794918919114,12.06785774230957,8.20308755937861,8.498330843891527,12.34477923193275,61011.344,167547.14,-11.033681191050878,-11.594954760782972
/m11q_r880,597,13.792092615,0.006654268,0.00047791,659315000.0,3.814697265625,27.48543357849121,18.218568189533535,13.99758243560791,9.078907581006028,8.72025763256218,12.326333325560643,65990.3,163711.62,-10.999612879553329,-11.605013442382715
/m11q_r880,596,13.789874384,0.008872499,0.000637293,659303000.0,3.814697265625,27.5058536529541,18.311838344531758,15.943649291992188,9.372228875386579,8.965438217055052,12.389935171191865,53482.42,147391.12,-11.090873970651883,-11.650613702362248
/m11q_r880,595,13.787654284,0.0110926,0.000796795,659300300.0,3.814697265625,27.52280044555664,18.353981862770517,15.596561431884766,9.23201580168943,9.92492256881405,12.37537006255623,55227.69,156323.0,-11.076926375961035,-11.62506038444037
/m11q_r880,594,13.785435635,0.013311249,0.000956297,659277500.0,3.814697265625,27.540571212768555,18.46011088284357,12.289933204650879,7.612553135810938,10.424401724280655,12.389975414477426,53306.098,158413.38,-11.092291366328908,-11.619276410192759
/m11q_r880,593,13.783216777,0.015530107,0.001115799,659235000.0,3.814697265625,27.558589935302734,18.28962932541379,9.041041374206543,6.292533946305993,10.817264054873803,12.384107851007027,63191.754,182433.44,-11.018379852559134,-11.557935820666824
/m11q_r880,592,13.780996879,0.017750005,0.001275539,659186050.0,3.814697265625,27.578283309936523,18.250920802427597,7.783383846282959,4.957863853416217,9.224235834818554,12.420189533841514,53649.953,241860.9,-11.089438659877333,-11.435442330891883
/m11q_r880,591,13.778777603,0.019969281,0.001435161,659151400.0,3.814697265625,27.594520568847656,18.44756208505492,5.600239276885986,3.8890426335595385,8.465891744124761,12.416465506647604,41435.438,356042.3,-11.201613265901209,-11.267483581522042
/m11q_r880,590,13.776556456,0.022190428,0.001594901,659118100.0,3.814697265625,27.610858917236328,18.105881172041848,4.644192218780518,3.4296240687813664,8.39686104178875,12.443199680931906,28709.068,441910.12,-11.36094412536399,-11.173629272571434
