galaxyID,tstep,t,tlookback,z,M_star,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_coldgas_los,sigma_hotgas_los,SFR_10,SFR_100,sSFR_10,sSFR_100
m11d_r7100,600,13.736216022,0.0,0.0,5127465000.0,12.20703125,28.797340393066406,18.854730283687225,19.798385620117188,13.618996053682357,17.951394017646287,20.95889965088208,351780.9,3835373.8,-11.163630437785361,-11.126095009642498
m11d_r7100,599,13.733926683,0.002289339,0.000159264,5127543300.0,12.20703125,28.83603858947754,19.281569635027807,19.562225341796875,13.310010397794128,19.345071479068714,20.958998060677352,292323.53,3975546.0,-11.244045559865494,-11.110512553225496
m11d_r7100,598,13.731635434,0.004580588,0.000318646,5127636500.0,12.20703125,28.87807846069336,18.91119101247644,23.437183380126953,15.476918701352053,18.177646541928304,21.113941967705415,142761.89,4105139.5,-11.555304937843038,-11.096589308804322
m11d_r7100,597,13.729346562,0.00686946,0.00047791,5127770600.0,12.20703125,28.92439842224121,19.171940869728758,21.70879364013672,15.138936478090688,18.181618798855638,21.057625498409596,133828.05,4394033.0,-11.583381450247707,-11.06706527580811
m11d_r7100,596,13.727056638,0.009159384,0.000637293,5128112600.0,12.20703125,28.975528717041016,19.301522715163998,17.936567306518555,13.239097197205188,18.203943226933724,21.250129848004597,206243.89,4570700.5,-11.395576463276551,-11.049974791364097
m11d_r7100,595,13.724764804,0.011451218,0.000796795,5128345600.0,12.20703125,29.026765823364258,19.190536669944763,16.613691329956055,13.550660341866909,17.463708240002532,21.434931892995998,275865.2,4722208.5,-11.269280386040364,-11.03583212606852
m11d_r7100,594,13.72247449,0.013741532,0.000956297,5128496600.0,12.20703125,29.08240509033203,19.35286857157066,17.87516975402832,13.457194966887382,18.09928825234119,21.23407574439352,348770.78,4887905.0,-11.167449981149497,-11.020867318832401
m11d_r7100,593,13.720183981,0.016032042,0.001115799,5128893000.0,12.20703125,29.14687156677246,18.99714300600116,18.53903579711914,14.054803605294481,18.16144196892452,21.195848720798555,477962.03,5202712.5,-11.03063023459264,-10.993793805120504
m11d_r7100,592,13.717892419,0.018323603,0.001275539,5129001500.0,12.20703125,29.20359992980957,19.46953353078657,12.303217887878418,14.077539341057527,16.744869714498112,21.467225500943805,637589.1,5400601.0,-10.905491922772404,-10.977590731205572
m11d_r7100,591,13.71560152,0.020614503,0.001435161,5129120000.0,12.20703125,29.26445770263672,19.49910586556549,13.685664176940918,14.64620945775485,16.926711143154286,21.309214259961358,715193.7,5604053.0,-10.855619165586791,-10.96154060423916
m11d_r7100,590,13.71330871,0.022907312,0.001594901,5129444000.0,12.20703125,29.3297176361084,19.060811257660013,14.016780853271484,13.504864655020992,16.943200123694496,21.18864788315718,699288.2,5741898.0,-10.865414087157998,-10.951014805928887
m11d_r7100,589,13.690383616,0.045832406,0.003194809,5131074000.0,12.20703125,30.044178009033203,19.62082199333765,18.07079315185547,10.631700375026723,16.1508728353553,21.87126483481445,276227.38,7943998.0,-11.268941565806783,-10.810169155980416
m11d_r7100,588,13.667437317,0.068778706,0.004799962,5133065700.0,12.20703125,30.804750442504883,19.715922060761386,12.449989318847656,8.945901452112324,16.261246311554487,22.534660965183125,448620.5,10576049.0,-11.05849771029665,-10.6860533710801
m11d_r7100,587,13.644472396,0.091743626,0.006410241,5134998500.0,12.054443359375,31.5438175201416,20.38868585972951,28.996116638183594,18.277477412629086,16.880523221524406,23.235417148663515,828355.4,18605922.0,-10.7923236288148,-10.440889127468811
m11d_r7100,586,13.621487144,0.114728878,0.008025765,5136034000.0,11.90185546875,32.09999084472656,20.642219357733303,34.810733795166016,23.179127658039235,20.18112202655658,23.877273035105553,1225511.8,34243564.0,-10.622310392915242,-10.176048913627982
m11d_r7100,585,13.598484154,0.137731869,0.009646297,5136691000.0,11.5966796875,32.45384216308594,21.345410321893546,33.17823028564453,19.45130073271844,25.877734026923413,24.577567098137678,2023490.0,121712220.0,-10.404582395767749,-9.625349260045924
m11d_r7100,584,13.575459989,0.160756033,0.011272073,5135993300.0,11.29150390625,32.779598236083984,21.431413636280254,41.849342346191406,24.45715241251498,29.70468398950282,25.944269994044248,2999584.8,200758060.0,-10.23356331527205,-9.407951453302577
m11d_r7100,583,13.552416383,0.183799639,0.012903214,5130446000.0,10.986328125,33.31085968017578,22.59735815721489,56.590118408203125,34.972072172292215,36.70329063335386,26.801970888174516,4253522.0,199494930.0,-10.081406422550279,-9.410223247377068
m11d_r7100,582,13.529354209,0.206861813,0.014539599,5124105700.0,10.833740234375,33.975311279296875,22.550980423408106,54.269309997558594,30.714680498146258,37.43753668755965,26.699782469363413,11920710.0,194707090.0,-9.633315959314894,-9.420236320556798
m11d_r7100,581,13.506271753,0.22994427,0.016181231,5092848600.0,10.833740234375,33.10990524291992,22.362796580101808,51.58869552612305,31.00856018988706,44.332901668737236,21.533815228355373,90759736.0,163343660.0,-8.749067545141926,-9.493858475967034
m11d_r7100,580,13.483171618,0.253044405,0.017828226,4949457400.0,11.29150390625,32.01197814941406,21.59980173358187,22.330793380737305,17.52774712582992,18.876004111399723,19.539315797158487,7232850.0,21822566.0,-9.835248132850142,-10.355651775688353
m11d_r7100,579,13.460050357,0.276165666,0.019480586,4941248500.0,11.444091796875,32.15428161621094,21.61106850648363,20.260822296142578,15.45922209255955,17.311861170926825,19.611806069358153,1698592.5,20308766.0,-10.463747494408013,-10.386153160936587
m11d_r7100,578,13.436911444,0.299304578,0.021138191,4939954700.0,11.5966796875,32.44655990600586,21.379784833683146,22.044328689575195,14.286329429983027,16.514443626637192,19.874188575066633,1423286.1,25191256.0,-10.540430749725296,-10.292473144012682
m11d_r7100,577,13.413751427,0.322464595,0.02280128,4940400000.0,11.5966796875,32.64487075805664,22.02305272960518,19.461997985839844,15.63112172880156,17.005605454414606,20.123441965921472,1399456.2,35962710.0,-10.547802798258534,-10.137909689227536
m11d_r7100,576,13.390571182,0.34564484,0.024469852,4940294000.0,11.5966796875,32.792354583740234,22.154892526089203,23.263656616210938,16.012977333677018,18.617189597454782,20.59080996195005,2237835.8,54930436.0,-10.343924599955509,-9.95393976132327
m11d_r7100,575,13.367374196,0.368841827,0.026143789,4935902700.0,11.5966796875,32.93147659301758,21.764246145792704,26.52680778503418,14.28449022111633,17.027075049598245,21.367738630454046,4988455.0,79325820.0,-9.995400532874044,-9.793951999703502
m11d_r7100,574,13.34415614,0.392059883,0.027823329,4929378000.0,11.5966796875,33.16543197631836,22.548064494294927,20.48675537109375,13.270541439811812,17.165761706418806,22.15467661713162,4072436.2,107467620.0,-10.082937809575508,-9.661514489310624
