galaxyID,tstep,t,tlookback,z,M_star,R_halfmass,sigma_star,sigma_youngstar,SFR_10,SFR_100,sSFR_10,sSFR_100
m11e_r7100,587,13.644472396,0.091743626,0.006410241,1677391100.0,19.50000000000039,74.016174,70.6466,711103.8,8866185.0,-10.372701328352456,-10.276897546460528
m11e_r7100,586,13.621487144,0.114728878,0.008025765,1676108500.0,19.600000000000406,72.243744,70.204704,776327.7,9510636.0,-10.33425706448575,-10.246092579645104
m11e_r7100,585,13.598484154,0.137731869,0.009646297,1675452900.0,19.63000000000041,71.39757,31.066961,1162679.8,11256021.0,-10.15867212222894,-10.172747336123509
m11e_r7100,584,13.575459989,0.160756033,0.011272073,1673629000.0,19.69000000000042,71.27596,49.605553,1068756.0,12168390.0,-10.194780641197971,-10.13842608655501
m11e_r7100,583,13.552416383,0.183799639,0.012903214,1672017900.0,19.63000000000041,71.71642,45.38812,1098902.0,13015458.0,-10.182281963917243,-10.108781472646559
m11e_r7100,582,13.529354209,0.206861813,0.014539599,1670537500.0,19.640000000000413,72.793594,44.975132,1565500.9,14924967.0,-10.028202907096443,-10.04894284223692
m11e_r7100,581,13.506271753,0.22994427,0.016181231,1668526600.0,19.62000000000041,74.68167,48.655327,1906005.1,15871525.0,-9.942209068511886,-10.021714475055735
m11e_r7100,580,13.483171618,0.253044405,0.017828226,1664926000.0,19.510000000000392,77.430565,69.631035,1070492.1,15253689.0,-10.191811446130254,-10.038020035390353
m11e_r7100,579,13.460050357,0.276165666,0.019480586,1662817900.0,19.22000000000048,80.95047,85.040985,1174593.2,17169346.0,-10.150957195434776,-9.986090943498631
m11e_r7100,578,13.436911444,0.299304578,0.021138191,1660002200.0,18.84000000000042,85.15864,74.96409,2138543.2,18934524.0,-9.889990619457903,-9.94285426558134
m11e_r7100,577,13.413751427,0.322464595,0.02280128,1656635300.0,18.560000000000375,89.97608,75.41504,1784534.5,21959510.0,-9.967701953250183,-9.87760425661134
m11e_r7100,576,13.390571182,0.34564484,0.024469852,1653439500.0,18.340000000000348,94.87101,84.886246,1358453.8,22982050.0,-10.085343448394088,-9.856999540213566
m11e_r7100,575,13.367374196,0.368841827,0.026143789,1650072300.0,18.140000000000317,98.99232,77.53682,2149696.5,22274294.0,-9.885125829688436,-9.869699031408919
m11e_r7100,574,13.34415614,0.392059883,0.027823329,1646012400.0,17.98000000000029,101.88232,63.784492,3163422.0,20808410.0,-9.716275976209475,-9.89819421038113
m11e_r7100,573,13.320920505,0.415295518,0.029508114,1640150800.0,17.870000000000275,103.044106,82.200356,3759922.8,17155380.0,-9.639704853718966,-9.98048343354997
m11e_r7100,572,13.297663825,0.438552197,0.03119874,1634255600.0,18.050000000000303,102.32762,90.65021,2050468.5,16280906.0,-9.901466884167728,-10.001641417212982
m11e_r7100,571,13.274388727,0.461827295,0.032894731,1631045500.0,18.080000000000307,100.353836,82.85571,947254.8,17132596.0,-10.235999257074775,-9.978642903445689
m11e_r7100,570,13.251093483,0.48512254,0.034596443,1629126900.0,17.83000000000027,97.5525,93.21446,1721542.8,17652574.0,-9.976037106230619,-9.965146877226694
m11e_r7100,569,13.227780724,0.508435299,0.03630352,1627106300.0,17.620000000000218,94.43225,80.965805,1941937.5,19428236.0,-9.923180679385137,-9.922982557370846
m11e_r7100,568,13.204446975,0.531769047,0.038016558,1622325200.0,17.520000000000202,91.55241,75.00882,2260253.0,18620848.0,-9.855980872747027,-9.940138472075503
m11e_r7100,567,13.181093998,0.555122024,0.039735079,1617879300.0,17.460000000000193,89.189445,75.75632,1819318.0,16845396.0,-9.949037501010455,-9.982464892585897
m11e_r7100,566,13.157722684,0.578493338,0.041459441,1615387600.0,17.32000000000017,87.41091,80.95511,1950618.1,15848228.0,-9.918104502410955,-10.008296047203409
m11e_r7100,565,13.134331301,0.601884722,0.043189406,1611452400.0,17.13000000000014,85.92442,71.97424,1507790.2,16327652.0,-10.028876555255588,-9.994293750456267
m11e_r7100,564,13.110922492,0.62529353,0.044925094,1607127800.0,17.19000000000015,84.342026,76.81152,1555418.9,14805178.0,-10.014203050906787,-10.035636782517782
m11e_r7100,563,13.087492771,0.648723251,0.046666741,1604628500.0,17.25000000000016,82.955345,67.03797,1457193.9,16531648.0,-10.041857158967963,-9.987058346582659
