galaxyID,timestep,t,z,M_star,R_halflight,R_halfmass,sigma_gas,sigma_star,SFR_10,SFR_100,sSFR_10,sSFR_100
568,004032,13.585453191853114,0.015091542070498455,1866663654.91654,8926.666029285185,8926.949999991502,28.480694042777596,53.09539939651688,5324648.751922195,39798813.689352654,0.002852495005138065,0.021320827447691475
568,003936,13.262402293483465,0.0383686211681584,1761908680.640721,8814.72415004632,8814.899999993479,28.13112204292681,53.92216555565277,4273587.872268643,31056040.469212886,0.0024255444786812365,0.017626362143762925
568,003840,12.939351395107774,0.06245558191524595,1681146056.630448,8708.603607700561,8708.55000001352,27.542023035993623,51.70159240670749,2721714.326166305,35309253.15129073,0.0016189636322387641,0.021003084777810273
568,003744,12.6163004967492,0.08740401177214493,1608721593.397297,8602.586666977453,8602.400000015065,27.56151829030404,50.45132860348656,5250191.410009732,48817551.876746,0.003263579870847871,0.030345556420146715
568,003552,11.970198700013217,0.14011755622094982,1424143762.5915568,8405.404580873266,8405.200000000708,26.843098990377115,51.57635664024943,2766550.69381409,41129160.68630418,0.0019426063340541656,0.028879921933906604
568,003456,11.647147801608716,0.16801380288022663,1335776145.3915465,8317.082960042804,8316.65000000227,26.374541160417802,52.75238401920215,5003434.807217414,36311444.52911149,0.0037457135497436156,0.027183779748116237
568,003360,11.324096903239797,0.1970353900101034,1255324034.9781528,8218.091523118088,8217.750000004015,25.791371761159194,52.12681957194339,3744254.719978783,26719513.04896891,0.002982699777626696,0.021284952971870667
568,003264,11.001046004880793,0.22726672632358227,1184425537.8556185,8121.65776503646,8121.50000002078,25.445812665609612,50.502134137303926,2198252.0718005616,22829988.008096676,0.0018559647707195323,0.019275156840530445
568,003168,10.67799510651141,0.25880171292856397,1121104026.017229,8015.129433619923,8014.800000004373,25.32380907789219,51.883905778586566,2109943.2907151734,30387078.336162392,0.0018820227577014766,0.027104601920050018
568,003072,10.35494420814975,0.29174512939093833,1047931193.9765679,7903.071062127499,7902.950000004313,24.962657171017383,51.86998115358204,3244101.669577192,22947383.08674481,0.003095720108556795,0.021897795598265133
568,002976,10.031893309782276,0.32621427158314786,987342911.0069294,10791.358071254448,10791.049999976445,24.4376648258992,51.8679371452491,2390913.0002739546,16206720.7251794,0.0024215629378810362,0.016414480262638618
568,002880,9.708842411415997,0.3623408968512153,931450442.3343621,10521.794178440516,10521.499999987138,24.293979649500233,52.57570226877209,1551357.2534663514,18844142.440788362,0.001665528495083866,0.02023096622678278
568,002784,9.385791513051338,0.40027354665665776,884067922.6256182,10241.629825212469,10241.099999977645,24.1544757075708,53.3911058857671,4487260.08519113,28824558.01979612,0.005075696075324495,0.032604460904077655
568,002688,9.062740614685353,0.4401803358853519,830414159.3932519,7418.170787839846,7418.150000004049,23.478068843032286,52.995187605231685,1808837.8912211384,13096179.000517117,0.00217823584865506,0.01577065955870253
568,002592,8.739689716317365,0.4822523231625672,790079492.1897886,7285.46937478355,7285.400000017738,23.399423906556844,52.03971722488284,977356.2262410803,16351823.22608322,0.0012370353058174367,0.020696427875583026
568,002400,8.093587919596368,0.5737963612976613,713124859.9618331,7016.448003426005,7016.40000001676,22.68241907893431,53.12934363843986,937126.8210398158,7344903.936413096,0.0013141132411089572,0.010299604387380633
568,002304,7.770537021226095,0.6238070016428844,680005472.0473591,6862.98545338384,-1,22.884396344142665,54.54127098657821,808383.2577156443,14911028.653333385,0.0011887893420648007,0.021927806857846732
568,002208,7.44748612286208,0.6770739239370236,645569512.4451725,8712.689890574275,8712.60000001346,22.722959171705945,55.353594532170945,3191495.439458415,14426263.135165194,0.004943689839642892,0.022346568196078498
568,002112,7.12443522449419,0.7339871656688641,608462426.8071129,8464.898483089564,-1,22.51428831493641,55.34389476408599,1645663.72451904,14357067.919205392,0.0027046266984053686,0.023595652396391418
568,002016,6.801384326130444,0.7950046705426543,575375650.3363042,6604.0645616019465,-1,22.334948984450556,55.89135743863286,1244557.6397784331,14129886.541754182,0.002163034947778891,0.02455767207648661
568,001920,6.478333427764867,0.8606679887450892,544826624.9916177,7945.301108227535,7945.4000000201395,22.12333956028624,55.6989804256999,1423879.7601427434,11458349.219652353,0.002613454803470095,0.021031184406284556
568,001824,6.155282529396713,0.9316226093307045,519185854.5236353,7676.32001781683,7676.3000000191605,21.991852888445063,55.52953150953903,790369.5195161417,13317957.023243966,0.0015223248334477902,0.025651617637894798
568,001728,5.832231631028266,1.0086446208660926,487367989.5424971,7393.863583890086,7393.900000004034,21.56121873453433,56.433875101176234,1789742.600495276,7952338.459802173,0.0036722612869494083,0.016316907614854242
568,001632,5.509180732663515,1.0926761522035684,463547723.6794692,7131.738104344715,7131.700000017179,21.52426457850194,55.84707601626932,1109506.2149573206,14955949.423496556,0.0023935102218828157,0.03226409851564322
568,001536,5.186129834297814,1.18487320517999,433231491.6888212,6857.808048320772,6857.950000003742,21.22898387566179,53.67409523075729,2161828.480221618,13684921.165816672,0.004990007701874089,0.0315880110941847
568,001440,4.863078935928232,1.2866713120791293,402616274.25052446,6570.273669988897,-1,20.88551353563694,53.44889110863977,1615531.7683713573,10572936.584127095,0.004012584368028071,0.026260579266967676
568,001344,4.540028037558193,1.3998773828493871,372232709.4673494,6280.348604175785,6280.350000014082,20.32048310420443,54.13633444959566,1700323.064649803,11369365.974603802,0.0045679034147291875,0.030543704745541907
568,001248,4.216977139185581,1.5268009638063014,337962335.4090634,6004.929384519339,6004.900000003277,20.090454928798135,55.51620440338599,2359296.681581173,15298598.645668412,0.0069809456095914465,0.04526717045895445
