galaxyID,timestep,t,dt,z,M_star,R_halflight_pc,R_halflight,R_halfmass,sigma_gas,sigma_star,SFR_10,SFR_100,sSFR_10_old,sSFR_10,sSFR_100_old,sSFR_100
523,4096,13.800820457547800,-1,1.72627522992031E-12,533643965.9017990,3.043489934062380,15.27,3.1500000000000000,3.6204689272709300,37.14544924721490,761174.2343487420,7148460.162876410,0.0014263709195370400,-9.8457675240204000000,0.013395560747691200,-9.873039101799650000
523,4032,13.585453191715800,0.215367265832000,0.015091542080226800,519617032.24637700,15270.169812995100,15.270169812995,15269.94999996670,7.865408664193280,38.846482467397700,684805.7810610550,8325965.301714230,0.0013179048001959100,-9.8801159601842300000,0.016023272496900100,-9.795248781497450000
523,3936,13.262402292968400,0.323050898747400,0.03836862120590050,500866271.07801800,14938.280171103900,14.938280171104,14938.499999967400,7.916116319265690,37.67350210862190,733726.4322745830,10028281.872612600,0.00146491483783761,-9.83418762208956000,0.020021875002740000,-9.698495254268610000
523,3840,12.939351394333200,0.323050898635200,0.06245558197401150,481373280.2096070,14605.890144530400,14.605890144530,14606.249999968100,7.970725802140410,39.15810696235860,859713.3775725590,7332242.8275393600,0.0017859599045427100,-9.7481282954090200000,0.01523192733993600,-9.81724514064685000
523,3744,12.616300495692700,0.323050898640500,0.08740401185520810,464056922.2633230,14278.160555002500,14.278160555003,14277.949999968800,8.028409860346520,38.50897131296750,825348.7164946350,7220002.940647540,0.0017785505977783900,-9.7499337751094200000,0.015558442497600800,-9.808033880903730000
523,3648,12.293249597044100,0.323050898648600,0.11327055523369700,447101934.204699,13966.012393700600,13.966012393701,13965.64999996950,8.085728725736260,37.94607055539670,716386.598650975,6027617.147235300,0.001602289195919670,-9.795259095706810000,0.013481527781706400,-9.870260888990050000
523,3606,12.151914828889600,0.141334768154500,0.12489157771080100,440986586.7209610,13824.967784349600,13.824967784350,13824.899999969800,8.116908940675070,38.93660475882830,802565.9296732450,8112877.558632700,0.0018199327458934200,-9.7399446607111000000,0.01839710731103530,-9.73525045838265000
523,3552,11.9701986983988,0.1817161304908,0.14011755635767700,430881263.23898300,13645.131857564900,13.645131857565,13645.249999970200,8.154442483204080,37.82719224013980,564082.8852209670,4930201.00427127,0.0013091376519384800,-9.8830146862725700000,0.011442133656985700,-9.941492983492890000
523,3456,11.647147799761700,0.3230508986371,0.16801380304286500,418306635.82555100,13341.689799775200,13.341689799775,13341.999999970900,8.180614678431440,38.99834810382080,584029.290881271,6464740.485914670,0.0013961750564359500,-9.8550601252101600000,0.015454549204451800,-9.810943658402320000
523,3360,11.324096901122900,0.323050898638800,0.19703539020414000,404468708.30538600,13043.02814906820,13.04302814907,13042.89999997150,8.229199723895480,39.60342013732290,777210.1741025800,4890950.356381090,0.0019215582272331500,-9.7163464509691300000,0.012092283669787100,-9.917491673371640000
523,3264,11.001046002483600,0.323050898639300,0.2272667265526280,390239037.6417970,12737.970717809800,12.737970717810,12737.549999972200,8.328554914353460,38.30766989724980,555071.4683801090,4060072.7747722800,0.0014223883692784500,-9.8469818075400900000,0.010404066182889300,-9.982796893810630000
523,3195,10.768853169086200,0.232192833397400,0.2497948825137340,383014467.95864300,12533.09347075300,12.53309347075,12533.49999995790,8.396232903842020,39.385986599062800,701156.0762814770,5351849.648720380,0.0018306255636201900,-9.7374004772620100000,0.013972969943522500,-9.854711275131520000
523,3195,10.768853169086200,0.000000000000000,0.2497948825137340,383014467.95864300,12533.09347075300,12.53309347075,12533.49999995790,8.396232903842020,39.385986599062800,701156.0762814770,5351849.648720380,0.0018306255636201900,-9.7374004772620100000,0.013972969943522500,-9.854711275131520000
523,3168,10.677995103845100,0.090858065241100,0.25880171319449500,379028014.7223430,12450.587779572500,12.450587779573,12450.649999972800,8.370296601413360,38.750621211488,479314.56959050800,4008018.7513622000,0.001264588766457360,-9.898050680412450000,0.010574465727284800,-9.975741566038370000
523,3072,10.354944205206700,0.323050898638400,0.29174512969781800,369637703.8460810,9519.721547317440,9.519721547317,9519.89999998104,8.432324381120470,38.25573459058550,379615.5429314130,2468700.3190499000,0.001026993564188700,-9.988432277966590000,0.0066787026684861000,-10.1753078906137000000
523,2976,10.031893306568300,0.323050898638400,0.32621427193409400,361926506.267773,11836.65128320490,11.83665128320,11836.599999974200,8.534550950685380,38.6097902742038,383265.00365370600,2126081.517135500,0.0010589580951281500,-9.9751212253643700000,0.005874345979961210,-10.231040478520900000
523,2880,9.70884240792296,0.32305089864534,0.3623408972513190,356566846.0855740,11527.373662863700,11.527373662864,11527.649999974800,8.63736412275172,39.284517988561200,949449.4856021320,3732462.287133130,0.0026627531303745200,-9.5746690960792600000,0.010467777159061400,-9.980145531314930000
523,2784,9.385791509288210,0.32305089863475,0.4002735471096750,347985248.67127200,11216.292569881800,11.216292569882,11216.249999975500,8.72042582721229,39.79126546258370,424607.34012575000,3455626.9728583200,0.001220187757231230,-9.913573336820760000,0.009930383503476370,-10.003033979074900000
523,2688,9.062740610654250,0.323050898633960,0.44018033639640300,340476892.21085100,10903.720431915900,10.903720431916,10903.799999976200,8.761871336328270,40.122841620649800,318077.93542730000,2058348.738812480,0.0009342129897917420,-10.0295540983460000000,0.006045487332332050,-10.218568684511700000
523,2592,8.73968971201943,0.32305089863482,0.48225232373763900,333717002.85098100,10586.606400341100,10.586606400341,10586.699999976900,8.922691155237830,41.51938846116130,621219.8108629560,3797032.447580950,0.0018615168108181700,-9.7301330374404300000,0.011378001166085300,-9.943934026059160000
