galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_hotgas_global,sigma_hotgas_los,sigma_gasNearYS_global,sigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
431,004096,13.800820457603765,-2.1550990513269365e-12,1481473268.961433,5415.65272841786,2522.1306403595063,2.899169921875,27.726123563426455,15.310533115176696,15.57582438829658,16.612678378988697,28.598359071036818,15.310533115176696,20.877231872141557,18.640238962992118,22.32435229264983,18.013243113041703,28.306646920061425,16.44419644659822,-0.1753460751416587,2700334.208720265,23760380.334410347,-9.739276301431396,-9.794840431518942
431,003744,12.616300495854848,0.0874040118424572,1290102430.2308128,4770.014939066899,2191.18691544609,2.593994140625,27.965005518523288,16.190135475733122,18.270142038151093,16.723824255832834,29.41773122221461,16.190135475733122,22.61482338123517,19.176254611450172,21.845252145288917,19.250800102256775,21.59913604708866,16.553020911288634,-0.18586181583147057,2601955.953454885,22123348.66084621,-9.695324252891593,-9.765773329525782
431,003648,12.293249597180441,0.1132705552225799,1241608287.9155416,4600.323830788455,2105.5432036788925,2.5177001953125,28.173015537229663,18.877874200329337,21.707021977760395,18.48096866240062,29.539430724921978,18.877874200329337,23.535876010008547,18.90084975597923,21.123825643341643,19.33082992923235,34.96977427835564,17.494330772868892,-0.17590868880755148,2666284.5405352935,22180003.859674357,-9.668078108315907,-9.748022985515181
431,003606,12.151914829021102,0.12489157769989812,1218389096.3642223,4526.661542960175,2068.465770673268,2.44140625,28.229399572466995,15.984465790668445,14.910268684610624,14.82017621123196,27.998728337931404,15.984465790668445,22.956498120038553,18.754239188283197,20.25155293349875,18.641800800228417,25.20698582222311,16.280167574405954,-0.17068885338632278,2360589.953728983,18816450.868813235,-9.712765449238857,-9.811248292915577
431,003456,11.647147799872958,0.16801380303306515,1145495839.2270384,4270.524605107927,1941.1072474294413,2.3651123046875,27.768630229878163,16.83178422156727,22.28262210296801,17.56392068411418,28.101954642284245,16.83178422156727,23.698676479895095,18.283434386665235,19.976432360096315,18.643061191849675,25.09291162163346,15.721855575753825,-0.20056931980666495,1963541.3449193323,17470901.801124226,-9.765953465706389,-9.816678193366188
431,003360,11.324096901214844,0.19703539019571517,1101934587.482058,4109.9079403521555,1861.965285412513,2.288818359375,28.085506490549566,16.968297360575008,21.460701554867203,16.41875215720419,29.26281913635585,16.968297360575008,25.94988627158373,19.68336554089958,22.016746655170163,20.646545527712114,22.282184644545232,17.6648620467223,-0.17304879268260867,2453758.8009702163,21350984.904549155,-9.652323944590135,-9.71273790140372
431,003264,11.001046002550355,0.22726672654624844,1052774813.137859,3950.8064548120187,1785.6478057585523,2.2125244140625,26.782275920749104,14.560407065653493,15.793795110594896,16.20301021248238,26.682689748363735,14.560407065653493,23.693652104935875,18.15308529855368,19.611173432660895,18.263581875906834,22.211767247405454,15.750744268111463,-0.1766845520149354,1943917.4039806318,14227523.93909095,-9.7336576781784,-9.869206161197928
431,003168,10.677995103898317,0.25880171318919215,1009355321.7221667,3792.6811347568882,1709.6502087035474,2.13623046875,28.031999067445952,18.36717799189322,21.530291300574607,17.43472327555623,27.992623002975506,18.36717799189322,24.710988159746428,18.440661914921925,19.922818100074462,19.15919039063985,22.57540671904991,16.60178897992919,-0.17201237671769293,1696667.9316909525,14350843.82662908,-9.774447225713072,-9.847166638891434
431,003072,10.354944205257882,0.29174512969248245,976019117.9151943,3636.8321413225813,1634.9147581163484,2.13623046875,28.19554059556306,16.734962427697894,19.709406271057752,16.671371129578382,30.28403761236213,16.734962427697894,26.689209693798986,21.106045858563743,21.97920188668694,21.0927476264411,27.444437896783764,17.56664850686023,-0.17239941320777477,3874745.8329398227,23325290.02991459,-9.40121510467397,-9.621631272025422
431,002976,10.031893306606792,0.32621427192988656,939022389.2037487,3483.4423623252214,1561.0822898435836,1.983642578125,27.6392586985312,16.169063797997126,18.940349679621875,15.243241199501448,29.230231907666294,16.169063797997126,26.817404201813737,21.148652628876143,22.159716592920578,20.36968266184093,32.59998129438243,16.32160805121151,-0.166871687376951,1743300.2107531128,20573725.960610628,-9.731303764654188,-9.659362996525516
