galaxyID,timestep,t,z,M_star,R_halflight_s,R_halflight_c,R_halfmass,sigma_allstars_global,sigma_allstars_los,sigma_youngstar_global,sigma_youngstar_los,sigma_allgas_global,sigma_allgas_los,sigma_coldgas_global,sigma_coldgas_los,sigma_hotgas_global,sigma_hotgas_los,sigma_warmgas_global,sigma_warmgas_los,sigma_warmgasNearYS_global,sigma_warmgasNearYS_los,sigma_gasNearYS_global,sigma_gasNearYS_los,alpha,SFR_10,SFR_100,sSFR_10,sSFR_100
613,004096,13.800820457786752,-1.4837148614742067e-11,548619521.5309807,4976.569203997629,4376.214708206309,2.2125244140625,23.51300091323002,12.189515580618664,11.800728955297643,14.060668520651692,23.567190000366743,12.189515580618664,19.423972431079868,15.91220265392667,16.208116033787796,10.987076112251945,19.630416608480157,14.37213904563282,15.050623069976279,15.430279524539184,11.969341259988155,12.83188658438589,-0.1906784812915171,1006165.814002109,8542576.488683846,-9.736601699614296,-9.807682380963621
613,004032,13.585453192008373,0.015091542059498232,534538008.2374737,4862.4333401381455,4280.673801606038,2.2125244140625,23.561159159416867,14.04992746561701,13.856863594217096,13.195389827595791,25.088680335786623,14.04992746561701,21.93333926229176,16.56643646598971,16.5344500990962,11.241916251061188,20.11990971049269,14.795200604480478,20.62806065051421,17.991263883746974,14.816916802464863,14.406267149610374,-0.19407473630787636,1310847.1890127796,9436292.138275385,-9.61042652397992,-9.753177213331202
613,003936,13.262402293346728,0.03836862117817856,512003199.60014945,4693.740242963677,4139.116777646226,2.13623046875,23.68524534475054,13.002069922234664,13.041753950362875,12.689719654993391,23.983404914114182,13.002069922234664,20.39732973977752,15.677963111138137,16.728028161284758,11.506541494695632,19.29251517676452,14.613243690195368,17.762915289659293,15.495962329615839,13.708631856888431,14.677393733938287,-0.20786675855298717,939983.7788593866,6544592.0515573695,-9.736152315850534,-9.893390094407245
613,003840,12.939351394691679,0.062455581946814054,492116951.8490975,4527.2647913739265,3999.0823960061616,2.0599365234375,23.27953485589443,11.680079297516498,11.483806856806604,11.227750165368283,22.3285967836405,11.680079297516498,19.513327128741196,15.140583024304439,16.675064150551556,11.339808918674287,18.641489443767906,14.09300051248378,18.090869510351776,14.760365443736186,11.53601215725596,12.635455213663171,-0.1825920218506425,730471.3847158756,6013461.036824425,-9.82846511767085,-9.912943823962681
613,003744,12.61630049603152,0.08740401182856782,474292846.4459057,4363.048278364378,3860.2989877625932,1.983642578125,22.391429814157817,13.67615000082876,12.145876123001011,12.900764686479182,22.352975125993492,13.67615000082876,21.471864452794915,16.6862453068721,16.4378799094733,11.231046878544298,19.180931004448183,14.04135328288984,15.7293757858211,14.463366832754229,12.383424677113675,13.194471200521312,-0.19594444040337236,562709.5823605878,6291157.471431131,-9.925762263623653,-9.87731601845375
613,003648,12.293249597379718,0.11327055520632812,456927450.4688328,4201.5169005243,3723.2604699515805,1.9073486328125,23.896480248965677,14.640762907418761,17.061712187586053,14.9449037901516,23.674007788870387,14.640762907418761,24.582210802841185,18.146172903624123,17.014273832669154,11.482005980786239,21.397848184263776,15.408412886538242,18.74403938716717,16.185974685658795,15.870216893456655,12.999851170148986,-0.2114781421679768,561092.83141604,9362692.64958084,-9.910812529460692,-9.688446482631962
613,003552,11.970198698703772,0.14011755633184791,442003033.7827855,4042.784736076881,3588.2536658042627,2.0599365234375,22.555064606406756,14.167954150542021,16.019749949484815,12.826988165605359,23.284477650649517,14.167954150542021,25.35660607292317,18.409960391236275,16.905240565331148,11.562529606765725,20.26938810570109,14.968865141415908,21.605670863479258,16.97774157406274,17.61822297166828,14.775439724120709,-0.21683293305011903,883451.804246008,8777375.082288533,-9.699242388207722,-9.702060592836952
613,003456,11.647147800046218,0.16801380301780905,422139341.595889,3883.858403353253,3453.726748979535,1.8310546875,27.71097702248903,17.293614738994748,24.93645740717185,18.160544880834408,27.861443071542826,17.293614738994748,26.575832399458815,18.374620695736027,19.328173006902432,12.3930332610425,31.33462143364399,17.189973611023824,35.98233286430143,17.835058862068017,24.923705598198584,16.694487102201762,-0.20124105968003408,644049.3238272067,6039688.253001236,-9.81653669983304,-9.844441305964445
613,003360,11.324096901381745,0.19703539018041719,392266156.68624187,3727.3943064425703,3319.9963881896138,1.71661376953125,23.0631766302902,13.928617798786814,15.83304285099089,13.62475811923225,21.9817105756814,13.928617798786814,24.72736799029167,17.77272338113024,15.780290654999487,11.051580052294337,19.03533213637531,14.273927931954908,23.34270092383309,16.815061775551627,16.017375125184333,14.117672310402867,-0.20960885272845162,902241.5935847283,6769719.215710913,-9.638257996061412,-9.763010184337556
613,003264,11.001046002695938,0.22726672653233898,377484127.550632,3575.0999378246515,3189.053328000673,1.678466796875,21.285972881492846,13.300803024395991,14.177720633622208,11.839678412955308,21.14021371015273,13.300803024395991,24.828108708176437,17.71274592558241,15.973418305968941,11.296189395333311,20.151372665687425,14.23515851956478,20.228234808682814,16.905013463181326,15.070683496540894,13.120059929049095,-0.19242749005954668,852135.5597764668,7175053.578638894,-9.646390006263987,-9.721073546691265
613,003168,10.677995104040239,0.2588017131750366,362872377.03817874,3425.6642904179344,3060.5583757351724,1.6021728515625,22.19654475956741,13.050464384216617,16.425565537747183,13.688200455162365,20.176726770379812,13.050464384216617,24.163830853676867,17.023343577110012,15.767098520719905,11.252192513001564,19.1546325323263,13.67079553801529,20.841967909570826,16.689755751981806,16.25348548360603,13.315410048780262,-0.18961718412822087,619064.6089041474,6000137.4256486,-9.76801793293881,-9.781592712156735
613,003072,10.354944205374226,0.29174512968035277,347134827.04540116,3279.2513301047866,2934.346807931392,1.56402587890625,22.17479629948651,13.441007129683108,17.16458926137667,13.062665625574247,18.26994667928546,13.441007129683108,22.235809202599103,16.02690600079449,15.567036515646494,11.424284918676515,17.68914097366409,12.790889137426317,21.079167005320656,15.34515224298006,15.328933667096686,12.688565390504465,-0.21789250068109667,452472.8374816159,3842550.3885117015,-9.884905674306715,-9.955878616139346
613,002976,10.031893306725554,0.3262142719169193,333561164.766813,3135.8573888440046,2810.3083335141487,1.6021728515625,21.645032246633633,11.619613896221633,14.060634747954792,11.706073884474364,19.39320838766103,11.619613896221633,24.336563771298263,17.536269648403692,16.49836510045086,11.977998857245137,19.063574409862188,13.761216639252329,17.341836510132158,13.81385115555043,15.267469463667293,12.3264231472415,-0.20721503179232884,389796.5701795582,4501765.4716282,-9.932337468245358,-9.869792615861911
613,002880,9.70884240807487,0.36234089723391893,322822039.8782187,2995.942148356146,2689.466907090044,1.6021728515625,20.215331014228642,10.672056596652558,14.103131144475066,11.6251289386789,21.745367265607843,10.672056596652558,26.749649553760072,18.079611581300952,19.562713049009158,13.76892897728803,22.67292567001122,15.864492948818432,20.671838363253404,16.43392509777958,16.880145730921097,12.876619837959737,-0.21801326579406627,1079353.6354141056,5507590.572791067,-9.475799418818422,-9.768001529555493
613,002784,9.385791509438544,0.4002735470915779,311491357.7055511,2855.961260002247,2569.6362126181907,1.6021728515625,20.49397140926672,9.963926939683851,13.687973691806844,11.255821917061928,20.07649381412411,9.963926939683851,27.012577513941373,17.95029327476577,16.75464329430324,12.727528994178467,19.78319797868618,13.903417149630506,21.14185175022529,15.04092212585461,18.43686263982639,15.273662547663685,-0.19225934259810654,419432.1091860929,4862754.474533428,-9.870784327346865,-9.806563659560918
613,002688,9.062740610790792,0.44018033637909265,298684044.89983374,2716.903824916528,2450.1763657920515,1.56402587890625,20.14093579857437,10.929229439781647,14.54907242565667,11.643270487603683,18.400760263838205,10.929229439781647,24.700740499322983,17.01632024875361,14.432014022446689,11.38605630185468,17.345173504225052,12.714814297852975,19.831405732735668,14.289329826242387,18.26556346354649,13.480323841175174,-0.19590833295571086,437762.9590965238,3776502.7603662177,-9.833973012722145,-9.898122217614144
613,002592,8.739689712143829,0.482252323720994,289687820.425353,2580.0884067896736,2331.4730052771083,1.52587890625,20.713879241761166,12.737665848860413,15.97407180061024,13.185015802120311,20.08910015135224,12.737665848860413,26.570265995527542,18.873146615654292,15.275248979599198,11.009180888093198,18.099185483509693,13.67606864008819,15.402570447030968,12.695533423688403,16.66277988527836,13.218507511847463,-0.19531747297237814,592035.8763750929,5144674.878992207,-9.68958221116735,-9.750572301751399
613,002496,8.41663881349912,0.5267076105994873,278024168.24033326,2445.494442901444,2214.3424466736833,1.52587890625,20.520644907520996,10.646181602256753,12.29250382717005,9.96562835619229,19.4644674425105,10.646181602256753,23.202859065878304,17.271731414622753,14.44809836972611,10.565636734647338,16.621479351461335,13.346783904895764,15.403976122970587,14.49427999667618,13.047902244585307,10.92902054874212,-0.1895744911970307,570508.8041147218,3560692.595286097,-9.687820199296796,-9.892548068737163
613,002400,8.093587914858796,0.5737963620088888,270157856.6518593,2313.639951510896,2098.8817151850617,1.48773193359375,20.821988151937163,12.465483769371188,14.568713914470656,11.824278673560972,19.446478604691517,12.465483769371188,24.40542851384666,17.70589823639404,15.126424216422013,10.828557478168165,15.841035338755356,13.129057957674114,12.17536170641163,10.790429541368011,14.190464549152114,12.623067909216825,-0.2049688661787023,387458.45054587914,3707925.6079290337,-9.843392464702777,-9.862486589769691
613,002304,7.770537016215647,0.6238070024428605,262331436.19651723,2184.911658549182,1985.6356782628527,1.52587890625,20.287971153327682,11.026913202469059,11.269341206908296,11.417342727694702,19.30924327622269,11.026913202469059,22.364739826256425,16.059117826513948,15.296907298903578,10.885565182685482,15.847143572488243,12.892643507933116,12.741982714816602,11.397694139345393,13.224879878756987,12.32546484453949,-0.2054378177732736,633483.9300990836,2635183.4005609537,-9.617114734510363,-9.998039490761792
613,002208,7.447486117577714,0.6770739248370213,255108612.62860033,2058.1059558968554,1874.0079285798279,1.4495849609375,20.588533124465755,11.076804424475526,12.954252400462877,11.391930680381515,19.93019049062252,11.076804424475526,26.122692645690478,18.13885760568109,16.07217111286499,11.177081401277484,16.146429304320602,12.914925646350895,12.280686364845275,13.541163487182551,12.64044933173088,11.678533449591011,-0.1961749741266652,473757.47519326396,3583545.3557204558,-9.731169045358813,-9.852412215355933
613,002112,7.124435218924672,0.7339871666840234,246381929.12143242,1933.8262438078182,1764.1479303257743,1.4495849609375,20.632047883231635,9.788616556591874,9.954810818450833,10.5093597051912,19.396421859214705,9.788616556591874,25.668130717959112,17.842014412839465,15.59915795011575,10.890691010463495,16.437012960594213,12.519728523225202,13.70126336489965,12.255910510551008,13.550814246869596,11.413993915022427,-0.2134652853361536,766173.8061571904,3718114.404428305,-9.507281551036872,-9.821286102684104
613,002016,6.801384320284957,0.7950046716869998,238069853.85359758,1811.916750062368,1655.9185871343539,1.373291015625,20.70208771757286,13.395856538602704,18.65963819081202,12.694268596739551,20.32324726711676,13.395856538602704,28.318537469772696,19.153741911001212,16.684839055260436,11.350230547068309,17.40786678702912,13.538260648939946,11.858794572370568,10.744321047400891,12.82639561282334,11.909534715140037,-0.2223460269893745,396144.6543002453,4647729.795700866,-9.77885060554552,-9.709463533732569
